"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051056","regulation of small GTPase mediated signal transduction","152/5302","314/18860",0.484076433121019,1.72193163497971,8.06709453803448,1.2938237289896e-14,8.22483744518687e-11,NA,"VAV3/CSF1/NGF/NOTCH2/MFN2/NTRK1/F11R/ARHGEF19/MYOC/ARHGEF10L/TGFB2/WNT4/EPHB2/OBSCN/RHOU/SIPA1L2/STMN1/ARHGEF16/PLEKHG5/ARHGAP29/GBF1/ARHGAP21/ARHGAP12/RASGEF1A/ARHGAP22/ARHGAP42/APOC3/CDON/LRP4/MADD/SIPA1/RHOD/EPS8L2/ARAP1/ARHGEF17/ARRB1/KCTD10/RHOF/IQSEC3/FGD4/ARHGAP9/PLEKHG6/WNK1/MCF2L/RASA3/SPATA13/DOCK9/ARHGEF40/ARHGAP5/FERMT2/CGNL1/MAP2K1/RASGRF1/AKAP13/TSC2/ARHGAP17/KCTD13/ADGRG1/PLEKHG4/RIPOR1/ABR/ARHGAP44/FLCN/RAP1GAP2/TNFAIP1/NF1/ERBB2/ARHGAP27/ITGA3/GNA13/CYTH1/ARHGAP45/DOCK6/RASAL3/MYO9B/LPAR2/GMIP/SIPA1L3/ARHGEF1/CADM4/APOE/ARHGAP35/CYTH2/NUP62/EPS8L1/ARHGEF18/MAP4K4/PSD4/ARHGEF4/CHN1/DOCK10/GPR55/SRC/TGM2/PREX1/ARFGAP1/TIAM1/ITSN1/RTN4R/CRKL/LZTR1/BCR/CYTH4/CSNK1E/SGSM3/ARHGAP8/ARHGAP31/KALRN/HEG1/IQSEC1/FGD5/BCL6/WNT5A/ARHGEF3/SRGAP3/SPRY1/ARHGAP10/DOK7/ARHGAP24/PSD2/TRIO/SPRY4/ARHGAP26/F2R/F2RL1/PLEKHG1/RIPOR2/SYNGAP1/FGD2/ADCYAP1R1/TNS3/MMD2/CYTH3/RAC1/RABGEF1/AUTS2/DLC1/DENND3/ARHGAP39/ARHGEF10/ARFGEF1/PRAG1/ABCA1/DAB2IP/DENND1A/MAPKAP1/RALGPS1/GARNL3/VAV2/TEK/KANK1/FGD3",152
"GO:0051960","regulation of nervous system development","201/5302","466/18860",0.431330472103004,1.5343064322638,7.30342622984902,1.58173067051933e-12,3.6053501531593e-09,NA,"AGRN/MTOR/NGF/TNFRSF1B/PRUNE1/SEMA6C/LINGO4/TRIM46/SEMA4A/CRABP2/NTRK1/SPEN/TNR/GPR37L1/CDK18/DUSP10/SKI/EPHB2/KDM1A/DISC1/NCMAP/HES5/ADGRB2/TP73/MACF1/HEYL/LRP8/DAB1/HES3/CLSTN1/PITX3/NEURL1/NKX6-2/PARD3/DLG5/BMPR1A/SLIT1/ZFYVE27/YAP1/SORL1/ROBO3/CDON/BMAL1/ABCC8/PAX6/F2/LRP4/RTN4RL2/MYRF/RELA/TENM4/VSTM5/MTMR2/ASCL1/CUX2/FBXW8/NOS1/RNF10/HMGA2/RNF6/WASF3/SPART/RB1/DCT/AKT1/PRMT5/NFATC4/PRKCH/PSEN1/VSX2/FLRT2/DLL4/PRTG/IGDCC4/MAP2K1/NPTN/ISLR2/SEMA7A/NTRK3/RGMA/SOX8/TBC1D24/IL34/IST1/SLC7A5/TRPV2/SERPINF1/ULK2/NF1/ASIC2/HAP1/GFAP/MAPT/WNT3/TP53/BAIAP2/NTN1/MIR181C/ANKRD27/WDR62/DLL3/NUMBL/MAP2K2/MEGF8/PTPRS/LPIN1/BIN1/CXCR4/MYCN/LRP2/DLX1/DLX2/XRCC5/OBSL1/SERPINE2/GBX2/HES6/PER2/STK25/DPYSL5/MAPRE3/NRXN1/SOX11/BCL11A/ID2/SYNDIG1/E2F1/TGM2/ZNF335/ADNP/BMP7/CDH4/CHODL/TIAM1/DSCAM/RTN4R/TSPO/PLXNB2/TYMP/SHANK3/GATA2/PLXND1/EPHB1/WNT7A/CLSTN2/EPHB3/ETV5/HES1/LRRC15/CX3CR1/CTNNB1/TRAK1/DAG1/BHLHE40/SEMA3F/SEMA3G/WNT5A/FEZF2/LEF1/FGF2/TLR2/GSX2/KIT/NKX6-1/FSTL4/DBN1/SEMA5A/NR2E1/QKI/THBS2/ID4/KIAA0319/SYNGAP1/DAAM2/CUL7/SRF/TTBK1/VEGFA/TNFRSF21/CUX1/GPER1/PTPRZ1/FEZF1/SMO/GBX1/SMARCD3/RHEB/SHH/IL6/GLI3/CAMK2B/LIMK1/TG/ADGRB1/PCM1/LYN/BRINP1/LHX2/ANAPC2/PTPRD/NTRK2",201
"GO:0007409","axonogenesis","203/5302","472/18860",0.430084745762712,1.5298751989975,7.29052362480786,1.70143943046687e-12,3.6053501531593e-09,NA,"NGF/NOTCH2/DVL1/SEMA6C/TRIM46/SEMA4A/CRABP2/NTRK1/IGSF9/VANGL2/TNR/LGR6/NFASC/CNTN2/ECE1/TGFB2/EPHB2/DISC1/STMN1/EPHA10/MACF1/EDN2/SZT2/ARTN/DAB1/BARHL2/SEMA4G/FGF8/ABLIM1/FGFR2/PARD3/RET/LGI1/SLIT1/ZFYVE27/NECTIN1/ROBO3/FEZ1/BRSK2/PAX6/LRRC4C/LRP4/PTPRJ/MARK2/CTTN/TSKU/TCTN1/CNTN1/NELL2/RNF6/SPART/EVL/ARHGEF40/PSEN1/NRXN3/FLRT2/RPS6KA5/CYFIP1/SPG21/MAP2K1/NEO1/NPTN/ISLR2/SEMA7A/ISL2/NTRK3/SEMA4B/RGMA/TAOK2/PLEKHG4/IST1/PITPNA/TRPV2/LLGL1/ULK2/ERBB2/CNTNAP1/MAPT/WNT3/NGFR/NPTX1/BAIAP2/ACTG1/RAC3/NTN1/ARK2C/SMAD4/BCL2/PTPRM/DNM2/EFNA2/RAB8A/SCN1B/APLP1/SPTBN4/NUMBL/MAP2K2/MEGF8/APOE/VASP/ARHGAP35/PTPRS/PTPRH/BRSK1/BSG/GLI2/NR4A2/CHN1/ITGA4/NRP2/GDF7/CREB1/GBX2/STK25/RAB10/DPYSL5/NRXN1/BCL11A/VAX2/CTNNA2/ADAM17/SEMA4C/KIAA1755/PARD6B/ADNP/BMP7/CDH4/YTHDF1/CHODL/TIAM1/DSCAM/ADARB1/RTN4R/WNT7B/CELSR1/PLXNB2/BOC/SEMA5B/KALRN/PLXND1/EPHB1/WNT7A/EPHB3/CHL1/TRAK1/CCK/CELSR3/DAG1/SEMA3F/SEMA3G/WNT5A/FEZF2/DCHS2/PALLD/APBB2/PRDM8/NKX6-1/BMPR1B/FSTL4/TRIO/CSF1R/CYFIP2/CDHR2/UNC5A/SEMA5A/NR2E1/FYN/UST/KIAA0319/SYNGAP1/PTK7/SRF/VEGFA/NRCAM/PTPRZ1/FEZF1/SMO/PLXNA4/EPHB6/GBX1/SHH/GLI3/ADCY1/ACTB/RAC1/AUTS2/LIMK1/EXT1/PTK2/ADGRB1/KIFC2/UNC5D/MATN2/LHX2/STXBP1/HMCN2/NTNG2/OLFM1/LHX3/ANAPC2/NFIB/NTRK2/PTCH1",203
"GO:0050767","regulation of neurogenesis","169/5302","378/18860",0.447089947089947,1.59036522107062,7.2505935279458,2.74934286439563e-12,4.36939314724075e-09,NA,"MTOR/NGF/TNFRSF1B/PRUNE1/SEMA6C/TRIM46/CRABP2/SPEN/TNR/GPR37L1/DUSP10/SKI/EPHB2/KDM1A/DISC1/HES5/TP73/MACF1/HEYL/LRP8/DAB1/HES3/PITX3/NEURL1/NKX6-2/BMPR1A/SLIT1/ZFYVE27/YAP1/SORL1/ROBO3/CDON/BMAL1/ABCC8/PAX6/F2/LRP4/MYRF/RELA/TENM4/ASCL1/CUX2/FBXW8/NOS1/RNF10/HMGA2/RNF6/SPART/RB1/DCT/PRMT5/NFATC4/PRKCH/PSEN1/VSX2/DLL4/PRTG/IGDCC4/MAP2K1/NPTN/ISLR2/SEMA7A/NTRK3/RGMA/SOX8/TBC1D24/IL34/IST1/SLC7A5/TRPV2/SERPINF1/ULK2/NF1/HAP1/GFAP/MAPT/WNT3/TP53/BAIAP2/NTN1/MIR181C/ANKRD27/WDR62/DLL3/NUMBL/MAP2K2/MEGF8/PTPRS/BIN1/CXCR4/MYCN/LRP2/DLX1/DLX2/XRCC5/OBSL1/SERPINE2/HES6/PER2/STK25/DPYSL5/MAPRE3/SOX11/BCL11A/ID2/E2F1/TGM2/ZNF335/ADNP/BMP7/CDH4/CHODL/TIAM1/DSCAM/RTN4R/TSPO/PLXNB2/SHANK3/GATA2/PLXND1/WNT7A/ETV5/HES1/CX3CR1/CTNNB1/TRAK1/DAG1/BHLHE40/SEMA3F/SEMA3G/WNT5A/FEZF2/LEF1/FGF2/GSX2/KIT/NKX6-1/FSTL4/DBN1/SEMA5A/NR2E1/QKI/ID4/KIAA0319/SYNGAP1/DAAM2/CUL7/SRF/TTBK1/VEGFA/CUX1/GPER1/PTPRZ1/FEZF1/SMO/SMARCD3/RHEB/SHH/IL6/GLI3/CAMK2B/LIMK1/PCM1/LYN/BRINP1/LHX2/ANAPC2/PTPRD/NTRK2",169
"GO:0031589","cell-substrate adhesion","162/5302","369/18860",0.439024390243902,1.56167483968314,6.81395609589176,4.47716890729044e-11,5.69227254872906e-08,NA,"CSF1/ADAM15/THBS3/MYOC/RCC2/WNT4/DISC1/NID1/COL16A1/MACF1/AJAP1/COL17A1/DOCK1/ITGA8/COL13A1/SPOCK2/PLAU/SORBS1/LYVE1/PARVA/CD44/PTPRJ/FERMT3/MIR192/ARL2/CFL1/EFEMP2/RHOD/PPFIA1/CTTN/PXN/WNT1/ACVRL1/ITGB7/ITGA5/ITGA7/VWF/GAS6/THSD1/MMP14/AJUBA/NID2/FERMT2/FBLN5/SMAD6/SMAD3/ITGA11/CORO2B/WHAMM/EMP2/PKD1/TAOK2/CDH13/NF1/ITGAE/SRCIN1/JUP/DUSP3/ITGA2B/ITGB3/MINK1/ITGA3/COL1A1/PECAM1/ITGB4/UNC13D/ATP1B2/ACTG1/RAC3/TBCD/BCL2/COL5A3/AXL/LYPD3/BCAM/RRAS/MADCAM1/CAMSAP3/MAP4K4/LIMS1/MERTK/LIMS2/ITGA6/ITGA4/FZD7/SNED1/PRKCE/ANTXR1/JAG1/RIN2/PTPRA/SIGLEC1/SRC/STK4/SDC4/PREX1/PTPN1/FERMT1/LAMA5/TIAM1/ITGB2/CRKL/BCR/RAC2/PARVB/PARVG/FBLN1/CCDC80/ITGB5/EPHB1/FBLN2/EPHB3/BCL6/MUC4/MELTF/ITGA9/CTNNB1/CSPG5/DAG1/FAM107A/ADAMTS9/NPNT/LEF1/SPOCK1/RELL2/SPRY4/ADAMTS12/EGFLAM/ITGA1/GCNT2/NEDD9/UTRN/DUSP22/TNXB/PPARD/SRF/VEGFA/RREB1/COL26A1/LAMB1/MIR183/MKLN1/MICALL2/EPHA1/MYO1G/RADIL/VWC2/RAC1/DLC1/PTK2/MIR939/SORBS3/DOCK5/PTK2B/PLEKHA2/SFRP1/ANGPT2/FREM1/TEK/TLN1/TMEM8B/KANK1",162
"GO:0072657","protein localization to membrane","192/5302","458/18860",0.419213973799127,1.49120625157517,6.6549605968068,9.89016539836669e-11,1.04786302395695e-07,NA,"AGRN/DVL1/F11R/EPHA2/FCER1G/PKP1/ATP2B4/RAB29/PRKCZ/CNIH3/EPHB2/LDLRAP1/ARHGEF16/MACF1/SH3GLB1/CLSTN1/NMT2/GPR158/TSPAN15/CAMK2G/TSPAN14/LGI1/SORBS1/ZFYVE27/NHERF4/SORL1/SCN3B/VPS26B/PKP3/LRP4/RAPSN/HRAS/STX3/NRXN2/EHD1/FRMD8/PACS1/DCHS1/BBS1/PPFIA1/DLG2/SSH1/RILPL2/RILPL1/CACNB3/ITGB7/TNFRSF1A/GRIP1/WNK1/GAS6/GPC5/GPC6/FARP1/TM9SF2/AMN/AKT1/PACS2/MMP14/TM9SF1/FERMT2/LGALS3/EXOC5/PRKCH/ZDHHC22/TTC7B/CYP46A1/EHD4/CAPN3/RAB11A/MAP2K1/CSK/MESD/EMP2/GGA2/PDPK1/CLN3/DNAJA3/RAB11FIP3/NETO2/PHAF1/VPS4A/NECAB2/ATP2C2/ZDHHC7/SHISA6/ARHGAP44/INPP5K/FLOT2/ARL5C/STAC2/ERBB2/JUP/WNK4/NMT1/ITGA3/CLTC/GRIN2C/GGA3/RHBDF2/NPTX1/VAMP2/HGS/STX8/CDH2/RAB31/RAB8A/ABHD17A/AP3D1/CLIP3/AKT2/SPTBN4/SIRT6/APOE/EHD2/MADCAM1/BSG/PALM/PRAM1/C1QL2/LYPD1/ITGA4/PID1/GPC1/EFR3B/RAB10/EHD3/PKDCC/PRKCE/TTC7A/NRXN1/SPTBN1/VAMP5/KCNIP3/TM9SF4/KCNB1/LAMA5/ARFRP1/ITGB2/PEX26/CRKL/PPIL2/LARGE1/GGA1/SHANK3/RAB7A/TMEM108/GRIP2/RFTN1/ETV5/LRRC15/ZDHHC3/DAG1/CACNA2D2/LHFPL4/ANK2/SLC7A11/DOK7/NSG1/CPLX1/GAK/NKD2/REEP2/CAMK2A/SH3PXD2B/FYN/PRKN/SYNGAP1/PACSIN1/MRAP2/AP4M1/GPC2/GPER1/TSPAN33/DPP6/CAMK2B/RAMP3/VWC2/EGFR/ACTB/RAC1/FZD9/STX1A/ANXA13/SCRIB/ANK1/IKBKB/LYN/STXBP1/OLFM1/SEC16A/SLC1A1/PTCH1",192
"GO:0042060","wound healing","190/5302","453/18860",0.419426048565121,1.49196063295703,6.62779891509747,1.17670391695576e-10,1.0686152571554e-07,NA,"VAV3/MTOR/MIR200B/NOTCH2/IL6R/SYT11/PEAR1/VANGL2/F11R/USF1/FCER1G/ARHGEF19/DDR2/SELP/TGFB2/WNT4/EPHB2/GRHL3/MACF1/AJAP1/MIR34A/F3/ADRA2A/CASP7/ALOX5/ANXA8/JMJD1C/PRF1/MYOZ1/PLAU/ENTPD1/YAP1/POU2F3/UBASH3B/NLRP6/CD44/F2/PTPRJ/HRAS/SERPING1/SYT7/FERMT3/TSKU/TSPAN9/ANO6/ACVRL1/ITGA5/DGKA/ERBB3/NACA/VWF/CD9/PTPN6/ELK3/F7/F10/GAS6/RASA3/HMGB1/AJUBA/FERMT2/ITPK1/SERPINA1/DUOX1/SMAD3/VPS33B/PDIA2/PPL/ADGRG1/CARMIL2/VPS4A/ADAMTS18/WFDC1/CHMP1A/SERPINF2/NF1/P2RX1/ERBB2/FKBP10/ITGB3/GP1BA/PECAM1/GNA13/ALOX12/EVPL/C1QTNF1/CHMP6/ACTG1/EMILIN2/ANGPTL6/CYP4F11/COMP/TBXA2R/AXL/CEACAM1/CADM4/APOE/ARHGAP35/ANGPTL4/MERTK/PROC/NFE2L2/FZD7/SERPINE2/PRSS56/DGKD/PRKCE/ADAM17/ADRA2B/FER1L5/THBD/MYL9/SRC/SDC4/CD40/GNAS/TUBB1/FERMT1/ADORA2A/HMOX1/MYH9/MRTFA/SCUBE1/FBLN1/PPARA/TAFA5/MYLK/ITGB5/GATA2/GP9/WNT7A/DGKG/GP5/GPX1/DAG1/ARL8B/PRKCD/WNT5A/ANXA5/FGF2/SLC7A11/HGFAC/ADRA2C/PDGFRA/ARHGAP24/DRD5/FGF1/OCLN/F2R/F2RL1/CLIC1/ITPR3/PPARD/PTK7/SRF/VEGFA/DST/RREB1/CD109/NOS3/SHH/IL6/GNA12/AQP1/PDGFA/ACTB/EXT1/CCN4/PTK2/GSDMD/SCRIB/EPPK1/PLEC/CHMP7/NRG1/POFUT3/PLAT/LYN/ANGPT2/ARFGEF1/EPB41L4B/ANGPTL2/STXBP1/ENG/TOR1A/VAV2/COL5A1/ENTPD2/TLN1/KANK1",190
"GO:0042063","gliogenesis","156/5302","357/18860",0.436974789915966,1.55438410747173,6.61310141210994,1.55997761010492e-10,1.21717206818013e-07,NA,"CSF1/MTOR/TSPAN2/TNFRSF1B/MXRA8/NDUFS2/MYOC/GPR37L1/SOX13/CNTN2/SLC45A3/TGFB2/DUSP10/SKI/C1QA/DISC1/NCMAP/HES5/TP73/EIF2B3/TAL1/LRP8/DAB1/NFIA/GPR157/PITX3/BNIP3/NKX6-2/PARD3/DLG5/OPALIN/ABCC8/PAX6/F2/PTPRJ/HRAS/MYRF/CHRM1/RELA/TENM4/ASCL1/DTX1/RNF10/CNTN1/ERBB3/CD9/HMGA2/SOX1/WASF3/RB1/AKT1/MMP14/PRMT5/PRKCH/SYNE2/SLC8A3/PSEN1/EIF2B2/CCDC85C/MAP2K1/CSK/CSPG4/NTRK3/SOX8/BMERB1/MAPK3/ADGRG1/IL34/FA2H/SLC7A5/NF1/CCL2/ERBB2/STAT3/NAGLU/CNTNAP1/GRN/GFAP/MAPT/ARSG/GRB2/ITGB4/ATP1B2/TP53/NTN1/CDH2/MIR181C/EEF2/AKT2/PRX/MAP2K2/FKRP/RRAS/BIN1/CXCR4/MYCN/LRP2/DLX1/DLX2/CREB1/SERPINE2/DNER/GPC1/BOK/SOX11/EMX1/ID2/E2F1/COL6A1/CRKL/MAPK1/ADORA2A/LARGE1/TSPO/KLF15/EIF2B5/ETV5/HES1/CX3CR1/CTNNB1/CSPG5/DAG1/LEF1/FGF2/TLR2/GSX2/PRDM8/NKX6-1/SH3TC2/CSF1R/NR2E1/FYN/QKI/ID4/DAAM2/TTBK1/TNFRSF21/LAMB1/PTPRZ1/SMO/RHEB/SHH/IL6/GLI3/SUN1/NDRG1/SCRIB/PLEC/ARHGEF10/LYN/MATN2/DAB2IP/LAMC3/ABCA2/NFIB/NTRK2",156
"GO:0097485","neuron projection guidance","115/5302","244/18860",0.471311475409836,1.67652478804781,6.65145747885472,1.72322614655045e-10,1.21717206818013e-07,NA,"NOTCH2/DVL1/SEMA6C/SEMA4A/NTRK1/IGSF9/VANGL2/TNR/LGR6/NFASC/CNTN2/ECE1/TGFB2/EPHB2/EPHA10/ARTN/SEMA4G/FGF8/ABLIM1/RET/LGI1/SLIT1/NECTIN1/ROBO3/FEZ1/PAX6/PTPRJ/CNTN1/NELL2/EVL/ARHGEF40/NRXN3/FLRT2/RPS6KA5/CYFIP1/NEO1/NPTN/SEMA7A/ISL2/SEMA4B/PLEKHG4/ULK2/ERBB2/WNT3/NGFR/RAC3/NTN1/ARK2C/SMAD4/PTPRM/EFNA2/SCN1B/MEGF8/VASP/ARHGAP35/PTPRH/BSG/GLI2/CHN1/NRP2/GDF7/GBX2/DPYSL5/NRXN1/ADAM17/SEMA4C/KIAA1755/BMP7/CDH4/YTHDF1/DSCAM/WNT7B/BOC/SEMA5B/KALRN/PLXNA1/EPHB1/EPHB3/CHL1/CELSR3/DAG1/SEMA3F/SEMA3G/WNT5A/FEZF2/PALLD/APBB2/BMPR1B/TRIO/CSF1R/CYFIP2/UNC5A/SEMA5A/FYN/PTK7/VEGFA/NRCAM/FEZF1/SMO/PLXNA4/EPHB6/GBX1/SHH/GLI3/RAC1/EXT1/PTK2/KIFC2/UNC5D/MATN2/LHX2/HMCN2/LHX3/NFIB/PTCH1",115
"GO:0007411","axon guidance","114/5302","243/18860",0.469135802469136,1.66878559686305,6.56170310375213,2.93321163713047e-10,1.86464263772384e-07,NA,"NOTCH2/DVL1/SEMA6C/SEMA4A/NTRK1/IGSF9/VANGL2/TNR/LGR6/NFASC/CNTN2/ECE1/TGFB2/EPHB2/EPHA10/ARTN/SEMA4G/FGF8/ABLIM1/RET/LGI1/SLIT1/NECTIN1/ROBO3/FEZ1/PAX6/PTPRJ/CNTN1/NELL2/EVL/ARHGEF40/NRXN3/FLRT2/RPS6KA5/CYFIP1/NEO1/NPTN/SEMA7A/ISL2/SEMA4B/PLEKHG4/ULK2/ERBB2/WNT3/NGFR/RAC3/NTN1/ARK2C/SMAD4/PTPRM/EFNA2/SCN1B/MEGF8/VASP/ARHGAP35/PTPRH/BSG/GLI2/CHN1/NRP2/GDF7/GBX2/DPYSL5/NRXN1/ADAM17/SEMA4C/KIAA1755/BMP7/CDH4/YTHDF1/DSCAM/WNT7B/BOC/SEMA5B/KALRN/EPHB1/EPHB3/CHL1/CELSR3/DAG1/SEMA3F/SEMA3G/WNT5A/FEZF2/PALLD/APBB2/BMPR1B/TRIO/CSF1R/CYFIP2/UNC5A/SEMA5A/FYN/PTK7/VEGFA/NRCAM/FEZF1/SMO/PLXNA4/EPHB6/GBX1/SHH/GLI3/RAC1/EXT1/PTK2/KIFC2/UNC5D/MATN2/LHX2/HMCN2/LHX3/NFIB/PTCH1",114
