"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030705","cytoskeleton-dependent intracellular transport","115/5740","210/18860",0.547619047619048,1.79931972789116,7.70440527801081,1.60723165229191e-13,1.01882414438784e-09,NA,"KIF1B/PEX14/CDC42/SFPQ/HOOK1/SSX2IP/FNBP1L/SNAPIN/NME7/ARL8A/HNRNPU/ARHGAP21/KIF5B/AP3M1/BLOC1S2/RAB6A/MAP6/DLG2/IFT46/BORCS5/BICD1/KIF21A/TUBA1A/TUBA1C/KIF5A/RAB21/PPFIA2/IFT81/DYNLL1/IFT88/ACTR10/HIF1A/SYNE2/IFT43/CCDC88C/DYNC1H1/RASGRP1/MAP1A/SPG11/BLOC1S6/MYO5C/MYO5A/MAP2K1/TERF2/HSBP1/PAFAH1B1/NDEL1/MYO19/MAPT/TANC2/SYT4/RAB27B/NETO1/MAP1S/WDR35/SPAST/DYNC2LI1/LRPPRC/CCDC88A/WDPCP/RAB1A/KIF5C/TTC21B/DYNC1I2/IFT70B/TRAK2/MAP2/MREG/DAW1/ATG16L1/KIF1A/TMEM230/KIF16B/KIF3B/STAU1/APP/ARL8B/FYCO1/IFT57/COPG1/IFT122/IFT80/OPA1/HTT/WDR19/UCHL1/RUFY3/INTU/MGARP/MYO10/MAP1B/AP3B1/AP3S1/KIF3A/FBXW11/MAK/DTNBP1/KIF13A/DST/LCA5/ATG5/WASF1/SUN1/RABGEF1/DYNC1I1/WASL/DYNC2I1/PCM1/AP3M2/HOOK3/STAU2/SYBU/IFT74/APBA1/AGTPBP1",115
"GO:0007409","axonogenesis","217/5740","472/18860",0.459745762711864,1.51059322033898,7.43065597290166,4.94429330219805e-13,1.56709376213167e-09,NA,"ECE1/EPHB2/STMN1/EPHA10/MACF1/NRDC/USP33/NEXN/PLPPR4/NTNG1/WDR47/CELSR2/TNR/NFASC/ENAH/DISC1/TBCE/PRKCQ/KIF5B/NRP1/PARD3/PRKG1/ANK3/MYPN/UNC5B/ZFYVE27/SEMA4G/ABLIM1/SHTN1/FGFR2/BDNF/LRRC4C/PTPRJ/MARK2/CTTN/MAP6/TSKU/PAK1/PICALM/CNTN5/NCAM1/DRD2/DSCAML1/ROBO3/APLP2/PTPRO/KIF21A/CNTN1/NELL2/DIP2B/KIF5A/RAB21/ZDHHC17/NTN4/TCTN1/PTPN11/ATP8A2/RNF6/DCLK1/SPART/MYCBP2/SLITRK1/SLITRK6/EFNB2/ATL1/NIN/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/TTC8/RPS6KA5/EVL/CYFIP1/MAP1A/SPG11/SEMA6D/FOXB1/SPG21/MAP2K1/NEO1/NPTN/ISLR2/NTRK3/SIAH1/MT3/CDH11/CDH1/IST1/PAFAH1B1/NDEL1/MYH10/ULK2/ERBB2/MAPT/PTPRM/AFG3L2/B4GALT6/SMAD4/DCC/BCL2/PTPRS/DNM2/MAP1S/APLP1/NOVA2/ARHGAP35/ADAM17/RAB10/SPAST/FEZ2/SOS1/NRXN1/RTN4/BCL11A/CTNNA2/TTL/ZEB2/KIF5C/NR4A2/CHN1/TRAK2/RAPH1/NRP2/CREB1/MAP2/FN1/EPHA4/FLRT3/KIAA1755/B4GALT5/ADNP/CHODL/APP/TIAM1/DSCAM/ADARB1/S100B/CNTN6/CNTN4/TOP2B/CLASP2/GOLGA4/ROBO2/ROBO1/EPHA3/EPHA6/ALCAM/GAP43/GSK3B/KALRN/RYK/EPHB1/SLITRK3/SKIL/MAP3K13/PAK2/SLIT2/CCKAR/APBB2/UCHL1/RUFY3/PRDM8/SPP1/BMPR1B/UNC5C/COL25A1/FAT4/EDNRA/DCHS2/PALLD/SEMA5A/TRIO/GDNF/EMB/ISL1/MAP1B/ARHGEF28/EFNA5/SLC25A46/FSTL4/CDKL3/MYOT/CYFIP2/SLIT3/EDN1/KIAA0319/EPHA7/POU3F2/FYN/LAMA2/UST/TIAM2/CRPPA/GLI3/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/SMURF1/RELN/IFRD1/FEZF1/BRAF/KIF13B/MATN2/EXT1/PTK2/NFIB/C9orf72/NTRK2/SEMA4D/PTCH1/ABL1",217
"GO:0010970","transport along microtubule","100/5740","183/18860",0.546448087431694,1.79547228727557,7.15229466763069,7.17403778306337e-12,1.51587418356129e-08,NA,"KIF1B/PEX14/CDC42/SFPQ/SSX2IP/SNAPIN/NME7/ARL8A/HNRNPU/ARHGAP21/KIF5B/AP3M1/BLOC1S2/RAB6A/DLG2/IFT46/BORCS5/BICD1/KIF21A/TUBA1A/KIF5A/RAB21/IFT81/DYNLL1/IFT88/ACTR10/HIF1A/SYNE2/IFT43/DYNC1H1/RASGRP1/MAP1A/SPG11/BLOC1S6/MAP2K1/TERF2/HSBP1/PAFAH1B1/NDEL1/MAPT/RAB27B/NETO1/MAP1S/WDR35/SPAST/DYNC2LI1/LRPPRC/WDPCP/RAB1A/KIF5C/TTC21B/DYNC1I2/IFT70B/TRAK2/MAP2/MREG/DAW1/ATG16L1/KIF1A/TMEM230/KIF16B/KIF3B/STAU1/APP/ARL8B/FYCO1/IFT57/COPG1/IFT122/IFT80/OPA1/HTT/WDR19/UCHL1/RUFY3/INTU/MGARP/MAP1B/AP3B1/AP3S1/KIF3A/FBXW11/MAK/DTNBP1/KIF13A/DST/LCA5/ATG5/WASF1/SUN1/RABGEF1/DYNC1I1/DYNC2I1/PCM1/AP3M2/STAU2/SYBU/IFT74/APBA1/AGTPBP1",100
"GO:0051650","establishment of vesicle localization","106/5740","203/18860",0.522167487684729,1.71569317382125,6.78113432309841,6.7340787098625e-11,7.82189805859522e-08,NA,"KIF1B/PEF1/TRAPPC3/BTBD8/FNBP1L/STXBP3/SNAPIN/SYT11/DNM3/KLHL12/STAM/KIF5B/SAR1A/AP3M1/EXOC6/BLOC1S2/LIN7C/BORCS5/KIF5A/LIN7A/PPFIA2/TRAPPC6B/EXOC5/PSEN1/TRIP11/RASGRP1/SNAP23/SPG11/BLOC1S6/MYO5C/MYO5A/RAB27A/RAB11A/MAP2K1/BBS2/SMPD3/VPS4A/AP1G1/PAFAH1B1/NDEL1/NAGLU/TANC2/WIPI1/TRAPPC8/SYT4/VPS4B/DNM2/LIN7B/TRAPPC12/SDC1/RAB1A/EXOC6B/DCTN1/CLASP1/KIF5C/TRAK2/MAP2/MREG/CUL3/KIF1A/TMEM230/SNAP25/MKKS/KIF16B/KIF3B/ASIP/ATP9A/SYNJ1/TRAPPC10/LIMK2/CLASP2/PDCD6IP/CTNNB1/FYCO1/CADPS/ARL6/TBC1D23/TFG/RAB7A/NLGN1/CEP19/HTT/SNCA/AP1AR/BBS7/TRAPPC11/TRAPPC13/AP3B1/AP3S1/KIF3A/SAR1B/FBXW11/DTNBP1/KIF13A/PRKN/STARD3NL/DYNC1I1/WASL/EXOC4/AP3M2/SDCBP/SYBU/FAM91A1/TRAPPC9/UNC13B/SEC16A",106
"GO:0008088","axo-dendritic transport","55/5740","85/18860",0.647058823529412,2.12605042016807,6.88217459206511,7.04492761775873e-11,7.82189805859522e-08,NA,"KIF1B/SFPQ/SNAPIN/ARL8A/HNRNPU/KIF5B/AP3M1/BLOC1S2/DLG2/BORCS5/KIF21A/KIF5A/RAB21/ACTR10/HIF1A/DYNC1H1/MAP1A/SPG11/BLOC1S6/TERF2/HSBP1/PAFAH1B1/NDEL1/MAPT/RAB27B/NETO1/SPAST/KIF5C/TRAK2/MAP2/ATG16L1/KIF1A/TMEM230/KIF3B/STAU1/APP/ARL8B/OPA1/UCHL1/RUFY3/MGARP/AP3B1/AP3S1/KIF3A/FBXW11/DTNBP1/DST/ATG5/WASF1/RABGEF1/AP3M2/STAU2/SYBU/APBA1/AGTPBP1",55
"GO:0051648","vesicle localization","114/5740","223/18860",0.511210762331839,1.67969250480461,6.75344346623932,7.40359494424535e-11,7.82189805859522e-08,NA,"KIF1B/PEF1/TRAPPC3/BTBD8/FNBP1L/STXBP3/SNAPIN/SYT11/DNM3/KLHL12/STAM/KIF5B/SAR1A/AP3M1/EXOC6/BLOC1S2/LIN7C/BORCS5/KIF5A/LIN7A/PPFIA2/PCDH17/TRAPPC6B/EXOC5/PSEN1/TRIP11/RASGRP1/SNAP23/SPG11/BLOC1S6/MYO5C/MYO5A/RAB27A/RAB11A/MAP2K1/BBS2/SMPD3/VPS4A/AP1G1/PAFAH1B1/NDEL1/NAGLU/TANC2/WIPI1/CDH2/TRAPPC8/SYT4/VPS4B/DNM2/LIN7B/TRAPPC12/SDC1/NRXN1/RAB1A/EXOC6B/DCTN1/CLASP1/KIF5C/TRAK2/MAP2/MREG/CUL3/KIF1A/TMEM230/SNAP25/MKKS/KIF16B/SYNDIG1/KIF3B/ASIP/ATP9A/SYNJ1/TRAPPC10/LIMK2/SYN2/CLASP2/PDCD6IP/CTNNB1/FYCO1/BSN/CADPS/ARL6/TBC1D23/TFG/RAB7A/NLGN1/CEP19/HTT/USO1/SNCA/AP1AR/BBS7/TRAPPC11/TRAPPC13/AP3B1/AP3S1/KIF3A/SAR1B/FBXW11/DTNBP1/KIF13A/PRKN/STARD3NL/DYNC1I1/PIK3CG/WASL/EXOC4/AP3M2/SDCBP/SYBU/FAM91A1/TRAPPC9/UNC13B/SEC16A",114
"GO:0016197","endosomal transport","144/5740","300/18860",0.48,1.57714285714286,6.6650486753994,1.0103681941556e-10,9.14960568964617e-08,NA,"VAMP3/TMEM50A/STX12/EPS15/HOOK1/LEPROT/LRRC7/BTBD8/EVI5/SNX7/SNX27/RCSD1/VAMP4/STX6/GOLT1A/LYST/ACTN2/STAM/VPS26A/BLOC1S2/INPP5F/DENND5A/RAB6A/PICALM/MTMR2/RDX/ERC1/CRACR2A/GOLT1B/GRIP1/RAB21/EEA1/WASHC4/CORO1C/VPS29/VPS37B/DCLK1/CLN5/HEATR5A/SNX6/AKAP5/PLA2G4E/VPS39/TMEM87A/RAB8B/SNX1/RAB11A/MAP2K1/RAB11FIP3/USP7/CLEC16A/VPS35L/AKTIP/NDRG4/VPS4A/AP1G1/VPS53/ANKFY1/STX8/MYO1D/BECN1/SPAG9/CLTC/GGA3/RAB12/CHMP1B/PIK3C3/EPG5/VPS4B/SLC66A2/DENND1C/EHD2/EIPR1/ITSN2/RAB10/HEATR5B/PREPL/COMMD1/VPS54/DCTN1/CHMP3/GCC2/TMEM87B/STAM2/PIKFYVE/ARL4C/KIF16B/SNX5/SRC/ATP9A/TMEM50B/ITSN1/VPS26C/TRAPPC10/CLTCL1/MAPK1/NF2/TOM1/ARL8B/RBSN/TBC1D5/RAB5A/CHMP2B/TBC1D23/RAB7A/TMCC1/PIK3R4/DNAJC13/RAB6B/ACAP2/TBC1D14/SCARB2/BLTP1/ANKRD50/ARFIP1/DAB2/SNX18/ZFYVE16/RHOBTB3/SH3TC2/SQSTM1/TRIM27/SNX3/REPS1/SNX9/PRKN/WIPF3/RABGEF1/VPS50/LMTK2/WDR91/ZDHHC2/VPS37A/HOOK3/SNX16/VPS13B/WASHC5/RIC1/CHMP5/ABCA1/SNX30/RAB14/DENND1A/MVB12B",144
"GO:0060491","regulation of cell projection assembly","109/5740","213/18860",0.511737089201878,1.68142186452046,6.61530298196496,1.77030632249189e-10,1.40274647228451e-07,NA,"MTOR/CROCC/CDC42/EPHB2/LUZP1/WASF2/TACSTD2/ODF2L/FNBP1L/PLPPR5/SRGAP2C/SDCCAG8/GDI2/MYO3A/NRP1/CTTN/EPS8/TWF1/LIMA1/AVIL/RAB3IP/CORO1C/P2RX7/IFT88/KLF5/RAP2A/CDKL1/SYNE2/TGFB3/EVL/HSP90AA1/CYFIP1/TTBK2/MNS1/RAB11A/RAB11FIP3/CCP110/CYLD/NDEL1/PLEKHM1/ARHGAP35/SH3YL1/DYNC2LI1/NRXN1/CCDC88A/WDPCP/ACTR2/MARCHF7/MYO3B/NCKAP1/MSTN/ABI2/ARPC2/SRC/PPP1R16B/ZMYND8/LIMK2/KCTD17/BRK1/RAB5A/MAP4/PRKCD/ARF4/CEP97/ATG3/GAP43/GSK3B/P2RY12/TNIK/PLD1/NLGN1/PIK3CA/HTT/TAPT1/SLIT2/KIT/STAP1/ARHGAP24/INTU/RAPGEF2/GPM6A/MYO10/PIK3R1/F2RL1/FER/APC/CEP120/RAPGEF6/TENM2/MAK/TBC1D7/DAAM2/ATG5/FSCN1/SEPTIN7/ANLN/RALA/COBL/AUTS2/CAV1/WASL/PODXL/DMTN/RP1/STAU2/KANK1/TGFBR1/LPAR1/TRIM32",109
"GO:0031346","positive regulation of cell projection organization","168/5740","367/18860",0.457765667574932,1.50408719346049,6.45035133697187,3.1925355892703e-10,2.24860923337605e-07,NA,"MTOR/CROCC/CDC42/EPHB2/KDM1A/WASF2/MACF1/NRDC/LRRC7/NEGR1/FNBP1L/PLPPR5/RAP1A/ABL2/RGS2/TRIM67/DISC1/MYO3A/NRP1/BMPR1A/ANKRD1/ZFYVE27/SHTN1/BDNF/CAPRIN1/CNTF/MARK2/MAP6/PAK1/FZD4/ROBO3/EPS8/CAPRIN2/CNTN1/TWF1/AVIL/GRIP1/RAB21/CORO1C/P2RX7/IFT88/ATP8A2/SLITRK1/RAP2A/ARHGEF7/PRKD1/NIN/TGFB3/HSP90AA1/CYFIP1/LTK/TTBK2/MNS1/RAB8B/RAB11A/MAP2K1/NPTN/ISLR2/NTRK3/RAB11FIP3/CCP110/NDRG4/IST1/PAFAH1B1/NDEL1/PLEKHM1/MAPT/MIR21/RIT2/ARHGAP35/KIDINS220/PUM2/CCDC88A/BCL11A/ACTR2/ZEB2/MYO3B/NFE2L2/NCKAP1/MSTN/ABI2/FN1/ARPC2/EPHA4/CBFA2T2/SRC/ZMYND8/ADNP/CHODL/TIAM1/DSCAM/KCTD17/EP300/BRK1/KAT2B/GOLGA4/ROBO2/ROBO1/EPHA3/GSK3B/RYK/P2RY12/DHX36/SERPINI1/PRKCI/SKIL/TNIK/NLGN1/PIK3CA/MAP3K13/HTT/TAPT1/SLIT2/KIT/RUFY3/SCARB2/SMAD1/RAPGEF2/GPM6A/TENM3/SEMA5A/PIK3R1/MAP1B/ENC1/F2RL1/ARSB/EFNA5/APC/CEP120/RAPGEF6/CDKL3/FBXO38/TENM2/TMEM30A/FUT9/SNX3/FIG4/FYN/TIAM2/FSCN1/SEPTIN7/ANLN/RALA/COBL/AUTS2/MAGI2/SMURF1/CUX1/RELN/WASL/PTN/BRAF/EZH2/PTK2B/RP1/LYN/STAU2/STMN2/ENPP2/WASHC5/VLDLR/PTPRD/NTRK2/SEMA4D/TGFBR1/LPAR1/ABL1/RAPGEF1",168
"GO:0120032","regulation of plasma membrane bounded cell projection assembly","107/5740","210/18860",0.509523809523809,1.67414965986395,6.49792819617763,3.59371639516236e-10,2.27805682289342e-07,NA,"MTOR/CROCC/CDC42/EPHB2/LUZP1/WASF2/TACSTD2/ODF2L/FNBP1L/PLPPR5/SRGAP2C/SDCCAG8/GDI2/MYO3A/NRP1/EPS8/TWF1/LIMA1/AVIL/RAB3IP/CORO1C/P2RX7/IFT88/KLF5/RAP2A/CDKL1/SYNE2/TGFB3/EVL/HSP90AA1/CYFIP1/TTBK2/MNS1/RAB11A/RAB11FIP3/CCP110/CYLD/NDEL1/PLEKHM1/ARHGAP35/SH3YL1/DYNC2LI1/NRXN1/CCDC88A/WDPCP/ACTR2/MARCHF7/MYO3B/NCKAP1/MSTN/ABI2/ARPC2/PPP1R16B/ZMYND8/LIMK2/KCTD17/BRK1/RAB5A/MAP4/PRKCD/ARF4/CEP97/ATG3/GAP43/GSK3B/P2RY12/TNIK/PLD1/NLGN1/PIK3CA/HTT/TAPT1/SLIT2/KIT/STAP1/ARHGAP24/INTU/RAPGEF2/GPM6A/MYO10/PIK3R1/F2RL1/FER/APC/CEP120/RAPGEF6/TENM2/MAK/TBC1D7/DAAM2/ATG5/FSCN1/SEPTIN7/ANLN/RALA/COBL/AUTS2/CAV1/WASL/PODXL/DMTN/RP1/STAU2/KANK1/TGFBR1/LPAR1/TRIM32",107
