"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050807","regulation of synapse organization","48/693","322/18860",0.149068322981366,4.05689548546691,10.805912012439,1.06419824336483e-16,3.91629746311047e-13,NA,"DAB1/NEGR1/PLPPR4/MARK1/GPR158/ARHGAP12/LRRTM3/DOCK1/GRIN2B/PTPRO/CAPRIN2/LRRK2/SRGAP1/PPFIA2/RAP2A/SIPA1L1/FLRT2/NTRK3/TANC2/CDH2/CRIPT/NRXN1/LRRTM4/CTNNA2/DOCK10/ZMYND8/APP/LRRN1/CTNNB1/CACNA2D3/EPHB1/NLGN1/ETV5/IL1RAP/SNCA/GRID2/GPM6A/MEF2C/CYFIP2/DTNBP1/ADGRB3/ELMO1/NRCAM/DOCK4/CTTNBP2/MIR30B/PTPRD/NTRK2",48
"GO:0042391","regulation of membrane potential","59/693","474/18860",0.124472573839662,3.38752199511693,10.281992047687,1.75314250470548e-16,3.91629746311047e-13,NA,"MTOR/KCNH1/KCNK2/ACTN2/RGS7/CACNB2/ANK3/CTNNA3/KCNMA1/ABCC8/GRIA4/KCNA6/KCNA1/GRIN2B/LRRK2/ATP2A2/NALCN/SLC8A3/SMAD3/NTRK3/SLC8A1/NRXN1/CACNB4/SCN3A/SCN2A/CHRNA1/PID1/ZMYND8/APP/CACNG2/CACNA1D/SLMAP/NLGN1/KCNMB2/FGF12/GABRB1/SLC4A4/GPRIN3/SNCA/GRID2/PPP3CA/ANK2/GRIA2/RGS7BP/TMEM161B/MEF2C/KCNN2/KCTD16/KCNIP1/GRIK2/AKAP7/PRKN/CACNA2D1/NRCAM/KCND2/RIMS2/KCNQ3/MIR30B/NTRK2",59
"GO:0050803","regulation of synapse structure or activity","48/693","329/18860",0.145896656534954,3.97057856024421,10.6163176044174,2.54911963318104e-16,3.91629746311047e-13,NA,"DAB1/NEGR1/PLPPR4/MARK1/GPR158/ARHGAP12/LRRTM3/DOCK1/GRIN2B/PTPRO/CAPRIN2/LRRK2/SRGAP1/PPFIA2/RAP2A/SIPA1L1/FLRT2/NTRK3/TANC2/CDH2/CRIPT/NRXN1/LRRTM4/CTNNA2/DOCK10/ZMYND8/APP/LRRN1/CTNNB1/CACNA2D3/EPHB1/NLGN1/ETV5/IL1RAP/SNCA/GRID2/GPM6A/MEF2C/CYFIP2/DTNBP1/ADGRB3/ELMO1/NRCAM/DOCK4/CTTNBP2/MIR30B/PTPRD/NTRK2",48
"GO:0010975","regulation of neuron projection development","53/693","448/18860",0.118303571428571,3.21963254998969,9.28654031173774,5.29877924415878e-14,6.10551838408195e-11,NA,"DAB1/LRRC7/NEGR1/NTNG1/PRRX1/TNR/CAMSAP2/MARK1/LRRC4C/FAT3/PTPRO/CAPRIN2/LRRK2/CNTN1/PPFIA2/RAP2A/PRKD1/SIPA1L1/NTRK3/TANC2/RIT2/DCC/ALK/CTNNA2/CHN1/TRAK2/MAP2/SNAP25/TIAM1/DSCAM/GOLGA4/PTPRG/ROBO1/SKIL/TNIK/NLGN1/GRID2/PPP3CA/RAPGEF2/SEMA5A/DAB2/ENC1/DTNBP1/ADGRB3/TMEM30A/UST/HECW1/MAGI2/NRCAM/STMN2/CSMD3/PTPRD/NTRK2",53
"GO:0001508","action potential","30/693","179/18860",0.167597765363128,4.56117439357663,9.34983693537396,3.07166633343308e-12,2.83146202615861e-09,NA,"MTOR/KCNK2/CACNB2/ANK3/CTNNA3/ABCC8/KCNA6/KCNA1/ATP2A2/NTRK3/SLC8A1/CACNB4/SCN3A/SCN2A/CHRNA1/CACNA1D/SLMAP/KCNMB2/FGF12/GPRIN3/ANK2/TMEM161B/KCNN2/GRIK2/AKAP7/CACNA2D1/NRCAM/KCND2/KCNQ3/NTRK2",30
"GO:0007416","synapse assembly","38/693","284/18860",0.133802816901408,3.64144462736012,8.76009708431978,5.36835963785784e-12,4.12379492848113e-09,NA,"CSMD2/NEGR1/MARK1/ARHGAP12/LRRTM3/DOCK1/SRGAP1/PCDH17/RAP2A/FLRT2/NTRK3/CDH2/CRIPT/NRXN1/ADD2/LRRTM4/ERBB4/DOCK10/APP/DSCAM/LRRN1/CTNNB1/GAP43/EPHB1/NLGN1/IL1RAP/ADGRL3/SNCA/GRID2/GPM6A/MEF2C/CYFIP2/ADGRB3/ELMO1/NRCAM/DOCK4/PTPRD/NTRK2",38
"GO:0019226","transmission of nerve impulse","20/693","82/18860",0.24390243902439,6.63780663780664,9.99256023613536,1.1220649999091e-11,7.3879965494015e-09,NA,"MTOR/TNR/KCNK2/ANK3/KCNA1/NTRK3/GSG1L/CACNG4/CACNB4/SCN2A/CHRNA1/CACNG2/KCNMB2/FGF12/GPRIN3/GRIK2/NRCAM/KCND2/KCNQ3/NTRK2",20
"GO:0016358","dendrite development","34/693","241/18860",0.141078838174274,3.8394615987977,8.66464321448355,1.63307794525888e-11,9.40857031212274e-09,NA,"RERE/DAB1/CAMSAP2/MARK1/FAT3/CAPRIN2/LRRK2/PPFIA2/KLHL1/RAP2A/SIPA1L1/TANC2/DCC/ALK/CTNNA2/TRAK2/MAP2/DOCK10/ZMYND8/APP/DSCAM/EPHB1/TNIK/NLGN1/PPP3CA/RAPGEF2/CTNND2/MEF2C/PHACTR1/DTNBP1/ADGRB3/HECW1/CSMD3/PTPRD",34
"GO:1901888","regulation of cell junction assembly","36/693","285/18860",0.126315789473684,3.43768512189565,8.09878677360343,1.03489150454841e-10,4.78173081515307e-08,NA,"NEGR1/MARK1/ARHGAP12/LRRTM3/DOCK1/SRGAP1/RAP2A/PRKCH/FLRT2/TJP1/SMAD3/NTRK3/ROCK2/CRIPT/NRXN1/LRRTM4/DOCK10/APP/LRRN1/ANKRD28/CLASP2/CTNNB1/EPHB1/NLGN1/IL1RAP/SNCA/GRID2/RAPGEF2/MEF2C/CYFIP2/ADGRB3/ELMO1/DOCK4/DLC1/PTPRD/NTRK2",36
"GO:0099173","postsynapse organization","33/693","245/18860",0.13469387755102,3.66569484936832,8.202501041727,1.14315627054245e-10,4.78173081515307e-08,NA,"CSMD2/PLPPR4/MARK1/ACTN2/ARHGAP12/DOCK1/GRIN2B/CAPRIN2/LRRK2/PPFIA2/SIPA1L1/NTRK3/TANC2/CDH2/CRIPT/NRXN1/DOCK10/ZMYND8/APP/GAP43/EPHB1/NLGN1/ETV5/IL1RAP/GRID2/CTNND2/CYFIP2/DTNBP1/ELMO1/NRCAM/DOCK4/MIR30B/PTPRD",33
"GO:0051963","regulation of synapse assembly","28/693","181/18860",0.154696132596685,4.2100563647525,8.47538575280404,1.15467841788672e-10,4.78173081515307e-08,NA,"NEGR1/MARK1/ARHGAP12/LRRTM3/DOCK1/SRGAP1/RAP2A/FLRT2/NTRK3/CRIPT/NRXN1/LRRTM4/DOCK10/APP/LRRN1/CTNNB1/EPHB1/NLGN1/IL1RAP/SNCA/GRID2/MEF2C/CYFIP2/ADGRB3/ELMO1/DOCK4/PTPRD/NTRK2",28
"GO:0099175","regulation of postsynapse organization","25/693","146/18860",0.171232876712329,4.66010397517247,8.67103377100778,1.24497222351566e-10,4.78173081515307e-08,NA,"PLPPR4/MARK1/ARHGAP12/DOCK1/GRIN2B/CAPRIN2/LRRK2/PPFIA2/SIPA1L1/TANC2/CDH2/CRIPT/DOCK10/ZMYND8/APP/NLGN1/IL1RAP/GRID2/CYFIP2/DTNBP1/ELMO1/NRCAM/DOCK4/MIR30B/PTPRD",25
"GO:0070588","calcium ion transmembrane transport","39/693","339/18860",0.115044247787611,3.1309300335849,7.73252197922302,2.87893654797698e-10,1.02069373458661e-07,NA,"CACHD1/PDE4B/CACNA1E/CACNB2/GRIN2B/ITPR2/ANO6/ATP2B1/ATP2A2/NALCN/PRKD1/AKAP5/SLC8A3/GNB5/CACNG4/SLC8A1/CACNB4/UBR3/PLCL1/HTR2B/PLCB1/PLCB4/CACNG2/ITPR1/PLCL2/CACNA1D/CACNA2D3/HTT/STIM2/SNCA/PPP3CA/ANK2/GPM6A/PDE4D/VDAC1/CACNA2D1/PIK3CG/CHD7/ASPH",39
"GO:0051960","regulation of nervous system development","47/693","466/18860",0.100858369098712,2.74486124271532,7.44903650907821,3.86477127880838e-10,1.27233791600199e-07,NA,"MTOR/DAB1/NEGR1/TNR/KIF14/PARD3/LRRTM3/BMAL1/ABCC8/CAPRIN2/APPL2/DCT/PRKCH/HIF1A/FLRT2/NTRK3/SYT4/DCC/NRXN1/LRRTM4/TRAK2/MAP2/XRCC5/TIAM1/DSCAM/LRRN1/RARB/GOLGA4/CTNNB1/ROBO1/EPHB1/SKIL/NLGN1/ETV5/IL1RAP/GRID2/PPP3CA/RAPGEF2/SEMA5A/ADGRB3/QKI/PTPRZ1/CHD7/TG/PTPRD/NTRK2/BRINP1",47
"GO:0006816","calcium ion transport","45/693","439/18860",0.10250569476082,2.78969322249504,7.41034779924624,5.49291625524143e-10,1.68779006802718e-07,NA,"CACHD1/PDE4B/CACNA1E/CACNB2/CRACR2A/GRIN2B/ITPR2/ANO6/ATP2B1/ATP2A2/NALCN/PRKD1/AKAP5/SLC8A3/GNB5/PRKCB/CACNG4/SLC8A1/CACNB4/UBR3/CALCRL/PLCL1/HTR2B/PLCB1/PLCB4/CACNG2/ITPR1/PLCL2/CTNNB1/CACNA1D/CACNA2D3/STRIT1/HTT/STIM2/SNCA/PPP3CA/ANK2/GPM6A/PDE4D/VDAC1/EPM2A/CACNA2D1/PIK3CG/CHD7/ASPH",45
"GO:0007409","axonogenesis","46/693","472/18860",0.0974576271186441,2.65231002519138,7.1003479084283,1.80940322700221e-09,5.21221217078325e-07,NA,"DAB1/PLPPR4/NTNG1/TNR/PARD3/ANK3/LRRC4C/PTPRO/CNTN1/NELL2/SIPA1L1/FLRT2/NTRK3/PTPRM/B4GALT6/DCC/NRXN1/CTNNA2/CHN1/TRAK2/RAPH1/MAP2/APP/TIAM1/DSCAM/CHL1/CNTN4/TOP2B/CLASP2/GOLGA4/ROBO1/ALCAM/GAP43/KALRN/EPHB1/SKIL/PALLD/SEMA5A/CYFIP2/UST/ETV1/NRCAM/PTPRZ1/UNC5D/NFIB/NTRK2",46
"GO:1904062","regulation of monoatomic cation transmembrane transport","34/693","288/18860",0.118055555555556,3.21288279621613,7.39110987173117,2.06888786696136e-09,5.60912010519112e-07,NA,"PDE4B/ACTN2/CACNB2/ANK3/CRACR2A/GRIN2B/ANO6/PRKD1/AKAP5/GNB5/SLC8A1/DPP10/STK39/UBR3/CACNA1D/SLMAP/FGF12/HTT/STIM2/SNCA/PPP3CA/ANK2/ATPSCKMT/PDE4D/KCNN2/VDAC1/KCNIP1/AKAP7/UTRN/CACNA2D1/PIK3CG/DPP6/CHD7/ASPH",34
"GO:0048813","dendrite morphogenesis","23/693","144/18860",0.159722222222222,4.34684143017476,7.87397812061709,2.80634859593867e-09,7.1858114881563e-07,NA,"RERE/CAPRIN2/LRRK2/PPFIA2/RAP2A/SIPA1L1/TANC2/CTNNA2/TRAK2/MAP2/DOCK10/DSCAM/EPHB1/TNIK/NLGN1/PPP3CA/RAPGEF2/CTNND2/PHACTR1/DTNBP1/ADGRB3/HECW1/PTPRD",23
"GO:0035249","synaptic transmission, glutamatergic","20/693","110/18860",0.181818181818182,4.94818313000131,8.11105477983443,3.02176623825921e-09,7.33016873270353e-07,NA,"PLPPR4/TNR/ABCC8/GRIA4/GRIN2B/LRRK2/CACNG4/TSHZ3/NRXN1/CACNB4/DSCAM/CACNG2/GRM7/NLGN1/GRID2/GRIA2/MEF2C/DTNBP1/GRIK2/PRKN",20
"GO:0050890","cognition","36/693","333/18860",0.108108108108108,2.94216294216294,6.98376422040637,7.49680532912694e-09,1.7276387880973e-06,NA,"TNR/KCNK2/GPR158/SORCS3/ABCC8/GRIN2B/HIF1A/SLC8A3/MEIS2/SYT4/NRXN1/SCN2A/GPR155/PLCB1/SNAP25/GNAS/APP/CHL1/HTT/PDE8B/MEF2C/CAMK4/VDAC1/KCTD16/DTNBP1/RCAN2/ADGRB3/EPM2A/PRKN/PRKAR2B/PTPRZ1/CSMD1/CHD7/SLC1A1/NTRK2/BRINP1",36
"GO:0060078","regulation of postsynaptic membrane potential","23/693","152/18860",0.151315789473684,4.11806030227083,7.53836154836714,8.18140102410903e-09,1.79562272952945e-06,NA,"RGS7/GRIA4/GRIN2B/LRRK2/SLC8A3/NRXN1/CHRNA1/ZMYND8/APP/NLGN1/GABRB1/SNCA/GRID2/PPP3CA/GRIA2/RGS7BP/MEF2C/KCTD16/GRIK2/PRKN/KCND2/RIMS2/MIR30B",23
"GO:0019228","neuronal action potential","12/693","39/18860",0.307692307692308,8.37384837384838,9.00304661368632,8.66169260131123e-09,1.8146245999747e-06,NA,"MTOR/KCNK2/ANK3/KCNA1/SCN2A/CHRNA1/KCNMB2/FGF12/GPRIN3/GRIK2/KCND2/KCNQ3",12
"GO:0099068","postsynapse assembly","17/693","87/18860",0.195402298850575,5.31787497304739,7.88401040176688,1.49423568359735e-08,2.99431837639139e-06,NA,"CSMD2/MARK1/ARHGAP12/DOCK1/NTRK3/CDH2/CRIPT/NRXN1/DOCK10/GAP43/NLGN1/IL1RAP/GRID2/CYFIP2/ELMO1/DOCK4/PTPRD",17
"GO:0010959","regulation of metal ion transport","38/693","377/18860",0.10079575596817,2.74315722591585,6.67736848913083,1.95242638329938e-08,3.74947216692786e-06,NA,"PDE4B/ACTN2/CACNB2/ANK3/ABCC8/CRACR2A/CNTN1/ANO6/ATP2B1/PRKD1/AKAP5/GNB5/SLC8A1/DPP10/STK39/UBR3/CTNNB1/CACNA1D/SLMAP/STRIT1/FGF12/HTT/STIM2/SNCA/PPP3CA/ANK2/PDE4D/KCNN2/VDAC1/KCNIP1/AKAP7/UTRN/CACNA2D1/PIK3CG/DPP6/CHD7/ASPH/NKAIN3",38
"GO:0034765","regulation of monoatomic ion transmembrane transport","34/693","318/18860",0.106918238993711,2.9097806456297,6.70815515260669,2.58736587314944e-08,4.7700677237383e-06,NA,"PDE4B/ACTN2/CACNB2/ANK3/CRACR2A/GRIN2B/ANO6/PRKD1/AKAP5/GNB5/SLC8A1/DPP10/STK39/UBR3/CACNA1D/SLMAP/FGF12/HTT/STIM2/SNCA/PPP3CA/ANK2/ATPSCKMT/PDE4D/KCNN2/VDAC1/KCNIP1/AKAP7/UTRN/CACNA2D1/PIK3CG/DPP6/CHD7/ASPH",34
"GO:0043269","regulation of monoatomic ion transport","42/693","449/18860",0.0935412026726058,2.54572450563542,6.47442065916365,3.04545936594834e-08,5.39866239140612e-06,NA,"PDE4B/ACTN2/CACNB2/ANK3/ABCC8/CRACR2A/GRIN2B/CNTN1/ANO6/BEST3/ATP2B1/PRKD1/AKAP5/GNB5/SLC8A1/DPP10/STK39/UBR3/CTNNB1/CACNA1D/SLMAP/P2RY12/STRIT1/FGF12/HTT/STIM2/SNCA/PPP3CA/ANK2/ATPSCKMT/PDE4D/KCNN2/VDAC1/KCNIP1/AKAP7/UTRN/CACNA2D1/PIK3CG/DPP6/CHD7/ASPH/NKAIN3",42
"GO:0034762","regulation of transmembrane transport","42/693","450/18860",0.0933333333333333,2.54006734006734,6.45807988821623,3.24435886660859e-08,5.53824074674037e-06,NA,"PDE4B/ACTN2/CACNB2/ANK3/CRACR2A/GRIN2B/ANO6/OSBPL8/APPL2/PRKD1/AKAP5/GNB5/PRKCB/CACNG4/PTPRM/SLC8A1/DPP10/STK39/UBR3/PID1/CACNG2/CACNA1D/SLMAP/STRIT1/FGF12/HTT/STIM2/SNCA/PPP3CA/ANK2/ATPSCKMT/PDE4D/KCNN2/VDAC1/KCNIP1/AKAP7/UTRN/CACNA2D1/PIK3CG/DPP6/CHD7/ASPH",42
"GO:0007626","locomotory behavior","27/693","218/18860",0.123853211009174,3.37066603121649,6.87601335108421,3.46689423155661e-08,5.70675554044443e-06,NA,"MTOR/DAB1/NEGR1/TNR/ASTN1/EPS8/LRRK2/CNTN1/KLHL1/ALK/CACNB4/SNAP25/APP/DSCAM/CHL1/ETV5/FGF12/GPRIN3/SNCA/RCAN2/PRKN/KCND2/CHD7/NCOA2/SLC1A1/APBA1/TMOD1",27
"GO:0007611","learning or memory","31/693","284/18860",0.109154929577465,2.97065219600431,6.53547849446256,6.66227025673606e-08,1.05884150390678e-05,NA,"TNR/KCNK2/SORCS3/ABCC8/GRIN2B/HIF1A/SLC8A3/MEIS2/SYT4/NRXN1/SCN2A/PLCB1/SNAP25/APP/HTT/PDE8B/MEF2C/CAMK4/VDAC1/KCTD16/DTNBP1/RCAN2/ADGRB3/EPM2A/PRKN/PRKAR2B/PTPRZ1/CSMD1/SLC1A1/NTRK2/BRINP1",31
"GO:0007215","glutamate receptor signaling pathway","14/693","65/18860",0.215384615384615,5.86169386169386,7.66844771537886,7.71409289896259e-08,1.18514180571062e-05,NA,"FOLH1B/GRIA4/GRIN2B/NRXN1/PLCB1/APP/GRM7/NLGN1/GRID2/GRIA2/MEF2C/CPEB4/GRIK2/SLC1A1",14
"GO:1990806","ligand-gated ion channel signaling pathway","12/693","47/18860",0.25531914893617,6.94851248042737,7.97466811310398,8.83499779029181e-08,1.31356467146629e-05,NA,"GRIA4/GRIN2B/NRXN1/PLCB1/APP/ITPR1/NLGN1/GRID2/GRIA2/MEF2C/CPEB4/GRIK2",12
"GO:0035235","ionotropic glutamate receptor signaling pathway","10/693","31/18860",0.32258064516129,8.7790345854862,8.46598044566937,9.26450757716541e-08,1.33437860697361e-05,NA,"GRIA4/GRIN2B/NRXN1/APP/NLGN1/GRID2/GRIA2/MEF2C/CPEB4/GRIK2",10
"GO:0030048","actin filament-based movement","21/693","147/18860",0.142857142857143,3.88785817357246,6.86510459945997,1.00708986694459e-07,1.40656884749927e-05,NA,"PDE4B/FNBP1L/CACNB2/CTNNA3/ATP2A2/FRMD6/SYNE2/CCDC88C/MYO5A/SCN3A/SCN2A/CACNA1D/STRIT1/FGF12/ANK2/PDE4D/KCNN2/SGCD/MYO6/QKI/CACNA2D1",21
"GO:0099172","presynapse organization","13/693","57/18860",0.228070175438596,6.20693147008936,7.68935755606568,1.09593408944439e-07,1.48563535830859e-05,NA,"LRRTM3/PPFIA2/PCDH17/NTRK3/NRXN1/APP/CLASP2/CACNA2D3/NLGN1/IL1RAP/SNCA/GRID2/PTPRD",13
