"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010975","regulation of neuron projection development","89/1791","448/18860",0.198660714285714,2.0919827311159,7.57717605663556,1.12949710789392e-11,6.53639976338213e-08,NA,"MACF1/LRRC7/NEGR1/RAP1A/LRIG2/TNR/ABL2/CAMSAP2/MARK1/ZNF365/ANKRD1/SHTN1/DENND5A/CAPRIN1/LRRC4C/MARK2/MAP6/PAK1/FAT3/PTPRO/KIF21A/DIP2B/PPFIA2/SPART/MYCBP2/RAP2A/PRKD1/SIPA1L1/PSEN1/NEO1/MINAR1/NTRK3/IST1/ULK2/TANC2/DCC/KIDINS220/PUM2/RTN4/CCDC88A/DGUOK/CTNNA2/CHN1/HECW2/TRAK2/ABI2/SNAP25/CHODL/TIAM1/KREMEN1/GOLGA4/ROBO2/ROBO1/GSK3B/DHX36/SERPINI1/SKIL/TNIK/NLGN1/MAP3K13/PAK2/SLIT2/GRID2/PPP3CA/RAPGEF2/SEMA5A/FBXO38/DTNBP1/ADGRB3/TMEM30A/EPHA7/POU3F2/RTN4IP1/FIG4/HDAC2/UST/HECW1/COBL/MAGI2/SMURF1/RELN/PTN/BRAF/EZH2/KIF13B/WASHC5/PTPRD/LPAR1/ABL1",89
"GO:0050807","regulation of synapse organization","68/1791","322/18860",0.211180124223602,2.22381750019941,7.17490640375564,2.05297520373244e-10,5.9402837519998e-07,NA,"NEGR1/SNX27/SRGAP2/MARK1/GPR158/KIF5B/LRRTM3/DOCK1/LIN7C/CAPRIN1/GRIN2B/PTPRO/TUBA1A/SRGAP1/ZDHHC17/PPFIA2/MYCBP2/RAP2A/SIPA1L1/PSEN1/RPS6KA5/FGF7/ADAM10/NTRK3/CDH8/NF1/TANC2/ROCK1/CDH2/PUM2/CRIPT/NRXN1/RTN4/CTNNA2/LRRTM1/TANC1/ABI2/DOCK10/SYNDIG1/ZMYND8/APP/LRRN1/CTNNB1/CACNA2D3/ROBO2/CHMP2B/IGSF11/EPHB1/DHX36/NLGN1/PTPN13/SNCA/GRID2/SPARC/CYFIP2/DTNBP1/ADGRB3/EPHA7/LATS1/ELMO1/RELN/DOCK4/CTTNBP2/YWHAZ/PTPRD/ABHD17B/MUSK/ABL1",68
"GO:0050803","regulation of synapse structure or activity","68/1791","329/18860",0.206686930091185,2.17650223423772,6.97339652815949,5.42219056609932e-10,1.04594056020056e-06,NA,"NEGR1/SNX27/SRGAP2/MARK1/GPR158/KIF5B/LRRTM3/DOCK1/LIN7C/CAPRIN1/GRIN2B/PTPRO/TUBA1A/SRGAP1/ZDHHC17/PPFIA2/MYCBP2/RAP2A/SIPA1L1/PSEN1/RPS6KA5/FGF7/ADAM10/NTRK3/CDH8/NF1/TANC2/ROCK1/CDH2/PUM2/CRIPT/NRXN1/RTN4/CTNNA2/LRRTM1/TANC1/ABI2/DOCK10/SYNDIG1/ZMYND8/APP/LRRN1/CTNNB1/CACNA2D3/ROBO2/CHMP2B/IGSF11/EPHB1/DHX36/NLGN1/PTPN13/SNCA/GRID2/SPARC/CYFIP2/DTNBP1/ADGRB3/EPHA7/LATS1/ELMO1/RELN/DOCK4/CTTNBP2/YWHAZ/PTPRD/ABHD17B/MUSK/ABL1",68
"GO:0099173","postsynapse organization","54/1791","245/18860",0.220408163265306,2.32099271869552,6.74147657327632,3.05307972600258e-09,4.41704309359424e-06,NA,"WASF2/NOS1AP/MARK1/ACTN2/ZNF365/DOCK1/CAPRIN1/MTMR2/GRIN2B/PPFIA2/HIP1R/GPHN/SIPA1L1/PSEN1/RPS6KA5/ADAM10/NTRK3/IGF1R/SHISA6/NF1/TANC2/CDH2/PUM2/CRIPT/NRXN1/RTN4/TANC1/ABI2/DOCK10/SYNDIG1/ZMYND8/APP/CHMP2B/GAP43/EPHB1/DHX36/NLGN1/DLG1/GRID2/CTNND2/CYFIP2/DTNBP1/EPHA7/LATS1/ELMO1/FZD9/RELN/DOCK4/ZDHHC2/FNTA/PTPRD/ABHD17B/MUSK/ABL1",54
"GO:0031346","positive regulation of cell projection organization","71/1791","367/18860",0.193460490463215,2.0372221385462,6.49986309175921,4.51188204430828e-09,5.2220522780824e-06,NA,"WASF2/MACF1/LRRC7/NEGR1/FNBP1L/RAP1A/ABL2/ANKRD1/SHTN1/CAPRIN1/MARK2/MAP6/PAK1/EPS8/GRIP1/IFT88/RAP2A/PRKD1/HSP90AA1/RAB8B/NTRK3/IST1/PLEKHM1/MIR21/KIDINS220/PUM2/CCDC88A/MYO3B/ABI2/ZMYND8/CHODL/TIAM1/GOLGA4/ROBO2/ROBO1/GSK3B/CLRN1/P2RY12/DHX36/SERPINI1/SKIL/TNIK/NLGN1/MAP3K13/HTT/TAPT1/SLIT2/RAPGEF2/SEMA5A/APC/RAPGEF6/FBXO38/TENM2/TMEM30A/FIG4/SEPTIN7/ANLN/COBL/AUTS2/MAGI2/SMURF1/RELN/PTN/BRAF/EZH2/ENPP2/WASHC5/PTPRD/TGFBR1/LPAR1/ABL1",71
"GO:0051056","regulation of small GTPase mediated signal transduction","63/1791","314/18860",0.200636942675159,2.11279326569151,6.44105887772938,7.84433339391586e-09,7.56585955843185e-06,NA,"ABL2/SRGAP2/ARHGAP21/PICALM/RDX/CBL/ARHGAP32/WNK1/EPS8/FGD4/STARD13/DOCK9/RALGAPA1/FERMT2/SIPA1L1/RASGRP1/MYO9A/RASGRF1/AKAP13/ARHGAP17/NF1/ARHGAP23/ERBB2/MIR21/MAPRE2/RTN4/STAMBP/MAP4K4/PKP4/CHN1/ITGAV/DOCK10/ARFGEF2/TIAM1/ARHGEF3/ROBO1/RABL3/KALRN/PIK3CB/FXR1/SLIT2/FBXO8/ARHGEF28/RASGRF2/CDC42SE2/FAM13B/ARHGAP26/CSNK1A1/ARHGAP18/ARFGEF3/CHN2/RABGEF1/AUTS2/RELN/DLC1/PSD3/FNTA/ARFGEF1/CYRIB/LPAR1/MAPKAP1/RALGPS1/ABL1",63
"GO:0007409","axonogenesis","84/1791","472/18860",0.177966101694915,1.87405956335349,6.22942361196353,1.10341630893464e-08,9.12210025686391e-06,NA,"MACF1/TNR/TBCE/KIF5B/PRKG1/ANK3/SHTN1/LRRC4C/MARK2/MAP6/PAK1/PICALM/NCAM1/PTPRO/KIF21A/NELL2/DIP2B/ZDHHC17/PTPN11/DCLK1/SPART/MYCBP2/ATL1/SIPA1L1/PSEN1/NRXN3/RPS6KA5/EVL/NEO1/NTRK3/IST1/ULK2/ERBB2/AFG3L2/DCC/FEZ2/NRXN1/RTN4/CTNNA2/TTL/CHN1/TRAK2/CREB1/B4GALT5/CHODL/APP/TIAM1/S100B/CNTN6/CNTN4/TOP2B/CLASP2/GOLGA4/ROBO2/ROBO1/ALCAM/GAP43/GSK3B/KALRN/EPHB1/SKIL/MAP3K13/PAK2/SLIT2/APBB2/UNC5C/EDNRA/SEMA5A/EMB/ARHGEF28/MYOT/CYFIP2/EPHA7/POU3F2/UST/CRPPA/COBL/AUTS2/SEMA3C/SMURF1/RELN/BRAF/KIF13B/ABL1",84
"GO:0016358","dendrite development","52/1791","241/18860",0.215767634854772,2.27212595944221,6.4381863709457,1.27726566418815e-08,9.23942049832103e-06,NA,"RERE/CAMSAP2/SRGAP2/MARK1/PRKG1/ZNF365/CAPRIN1/MAP6/PICALM/FAT3/PPFIA2/MAPKAPK5/RAP2A/SIPA1L1/PSEN1/TANC2/DCC/KIDINS220/STRN/CTNNA2/NCK2/HECW2/TRAK2/ABI2/DOCK10/BTBD3/ZMYND8/APP/GSK3B/EPHB1/DHX36/TNIK/NLGN1/PAK2/PPP3CA/IL2/RAPGEF2/CTNND2/PHACTR1/DTNBP1/ADGRB3/RTN4IP1/HDAC2/HECW1/COBL/RELN/GPR37/PTN/EZH2/PTPRD/LPAR1/ABL1",52
"GO:0072657","protein localization to membrane","81/1791","458/18860",0.176855895196507,1.86236861161704,6.05196280952403,2.68378079724142e-08,1.72567105262623e-05,NA,"MACF1/TMEM59/LRRC7/SH3GLB1/GPSM2/RAP1A/GOLPH3L/NME7/PPP2R5A/CNIH3/ACTN2/OPTN/GPR158/KIF5B/ANK3/RAB11FIP2/ZDHHC5/PACS1/RAB6A/DLG2/PICALM/RAB38/RDX/WNK1/GRIP1/SEC23A/FERMT2/EXOC5/AKAP5/GPHN/PALS1/MYO5A/ADAM10/RAB8B/GRIN2A/SHISA6/AP2B1/ERBB2/CLTC/EPB41L3/ROCK1/CDH2/ROCK2/PRKCE/CRIPT/NRXN1/SPTBN1/CCDC88A/COMMD1/ERBB4/ACSL3/ZMYND8/GOLGA4/SLMAP/ARL13B/ATP2C1/NLGN1/DLG1/KCNIP4/WDR19/TSPAN5/ANK2/CAMK2D/RAPGEF2/FYB1/RAPGEF6/KIF13A/MRAP2/EPM2A/HYCC1/FZD9/MAGI2/SMURF1/RELN/PTN/DPP6/ZDHHC2/FNTA/ANXA13/MUSK/LPAR1",81
"GO:1990778","protein localization to cell periphery","68/1791","365/18860",0.186301369863014,1.96183352072386,6.01066130972363,4.5103423401475e-08,2.61013511224336e-05,NA,"MACF1/TMEM59/LRRC7/GPSM2/RAP1A/GOLPH3L/PPP2R5A/CNIH3/ACTN2/OPTN/GPR158/KIF5B/ANK3/RAB11FIP2/ZDHHC5/PACS1/NUMA1/PICALM/RAB38/RDX/WNK1/GRIP1/SEC23A/EXOC5/AKAP5/GPHN/PALS1/MYO5A/ADAM10/GRIN2A/ERBB2/CLTC/EPB41L3/ROCK1/CDH2/ROCK2/PRKCE/NRXN1/SPTBN1/CCDC88A/COMMD1/ERBB4/ACSL3/GOLGA4/SLMAP/ARL13B/ATP2C1/DLG1/KCNIP4/WDR19/SNCA/TSPAN5/ANK2/CAMK2D/RAPGEF2/FYB1/RAPGEF6/KIF13A/MRAP2/EPB41L2/EPM2A/HYCC1/GNAI1/SMURF1/DPP6/ZDHHC2/ANXA13/LPAR1",68
