"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","58/2816","93/9370",0.623655913978495,2.07516190127077,6.83000920155607,9.7414053200555e-11,3.42897467265954e-08,NA,"998/10163/117178/5906/56288/29119/10580/6934/283106/5795/1500/5908/5787/4633/10810/4008/87/7082/4088/8826/3480/1387/999/51701/2064/64750/7525/103910/5797/6093/4089/52/9475/1496/83439/9855/1457/6714/5770/5594/2033/7048/1499/25945/11235/2241/1495/6885/8936/2534/4301/83605/1956/889/57154/4233/8976/7046",58
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","118/2816","250/9370",0.472,1.57053977272727,5.99333062109434,5.72042072405078e-09,9.19635786432052e-07,NA,"998/2060/9829/51100/829/11311/8394/26052/5867/8027/3799/56288/55680/9559/118813/22841/2263/7189/2348/408/867/3312/377/3798/4193/8411/23325/9815/10094/51699/79720/23111/58533/6642/51324/8766/4088/6457/3480/9727/27183/9798/9135/163/147179/1213/64750/9267/11031/57132/4087/23327/9525/84552/1785/30846/8853/10890/10097/26056/10617/51652/100526767/7852/3800/10254/7456/10109/116987/27131/83737/6714/10564/8218/9922/64145/5868/7048/10015/378/25978/868/7879/131890/5584/5337/23527/116984/1601/9765/84249/64411/2264/3106/60682/8724/3482/9265/644150/273/1956/57154/857/830/8976/653857/116988/137492/23362/10565/11059/9897/50807/6456/51510/1211/7046/89853",118
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","136/2816","299/9370",0.454849498327759,1.51347294010337,5.91473509062451,7.83780499800045e-09,9.19635786432052e-07,NA,"998/117178/10451/5906/57823/4359/23114/23380/5362/10000/5588/8829/56288/5599/288/219699/10580/3739/7189/57689/5058/7225/5962/4684/23705/120425/56253/64221/83700/23085/3742/1272/7846/84790/6334/57522/23426/5908/8499/10094/5781/8655/2308/4008/114798/84189/87/7082/106821730/5604/4916/8826/4629/5579/91807/999/4628/5376/2885/103910/23136/1000/1630/10666/4155/84552/5802/10382/4868/208/94030/6711/10097/80059/8440/8828/4133/10109/6714/81027/1525/4685/351/5594/4627/9901/1499/9223/6092/6091/253559/25945/2932/5291/22865/5584/22871/5290/3556/5062/9353/3791/5602/8633/287/2244/2243/9693/7204/5295/5921/51735/6586/340156/1432/22999/2534/2037/4301/51678/9863/8976/26047/653857/4067/3786/5747/5789/8777/9414/6709/25/3736/4897/5803/137970",136
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","73/2816","144/9370",0.506944444444444,1.68681443339646,5.44406949405184,1.43054071442145e-07,1.25887582869087e-05,NA,"2475/9698/5690/115209/2959/5686/3752/5710/5692/10000/5599/90550/7417/5682/55626/5702/10524/2904/3709/6667/488/6311/5687/5706/387332/5684/5700/4287/55102/6095/2903/5579/9706/5717/8678/2081/55062/10939/5289/208/23369/10213/5707/5173/23236/5332/11317/25814/3708/30849/5291/5290/4976/3516/5602/2891/291/5295/7416/2890/6310/9519/2911/5689/26100/7979/5649/7419/9821/7436/2776/5695/1600",73
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","82/2816","169/9370",0.485207100591716,1.61448527434104,5.28380818101226,2.85363816341916e-07,2.00896126704709e-05,NA,"2475/64121/84938/5567/51100/440738/10000/5588/10133/5599/22800/7189/55626/7405/3845/29110/10645/3146/3091/53349/55102/440275/23339/23604/5604/3480/9706/8678/9842/81671/6198/2081/55062/57521/56270/5289/57724/596/208/57448/6233/5861/9451/10010/26003/55054/84557/5594/8897/3708/10533/5894/5580/64422/7879/30849/5291/5290/9711/23001/5602/83452/5562/5295/55255/83734/9140/5515/8878/58528/6885/9474/8417/26100/8887/27072/6009/5516/9821/64798/203228/1612",82
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","64/2816","133/9370",0.481203007518797,1.60116199589884,4.57679639341464,7.96827259193198e-06,0.00046747199206001,NA,"2782/55970/5567/2787/2773/5525/10000/3799/5599/55844/1815/406/408/2893/5519/1813/775/2904/3709/3798/5501/55012/5529/801/5527/10681/2903/5579/2774/208/5518/5500/3800/3760/1386/1385/23236/5332/2778/1312/3708/776/1814/2932/111/5523/5522/9575/5602/5530/817/2891/5515/5521/2890/1812/1432/9586/2770/2791/64764/5520/5516/2776",64
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","67/2816","142/9370",0.471830985915493,1.56997739276569,4.48598416124627,1.1324776415697e-05,0.000519188152096027,NA,"10277/148581/8453/7321/9886/26091/8945/7189/329/8065/9354/867/4193/7334/51433/7337/8924/8925/6477/11060/7326/996/64750/9063/23327/9817/10055/27338/57448/6233/55120/10477/8452/9320/140739/83737/7327/7428/7324/9039/868/25847/3093/55236/25898/8916/7323/10393/55294/134111/26272/4214/1161/7320/8697/7322/23291/51465/5071/57154/7328/23221/55284/6921/11059/51366/22954",67
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","73/2816","158/9370",0.462025316455696,1.53734986334868,4.46496899826829,1.17997307294552e-05,0.000519188152096027,NA,"10459/1870/3065/1031/5525/983/23063/9126/472/5519/1027/1017/4193/51433/23047/8900/5925/5529/7043/5527/701/57082/9133/4088/90381/9088/1387/5934/7531/990/996/4087/4089/5518/10971/699/5000/4999/5111/7529/2033/2932/25847/10274/7029/545/23244/10393/9319/25836/1022/902/5515/8697/4172/23595/3066/26271/168448/7532/10926/1021/5001/494551/157570/5516/5591/4173/9134/7534/5885/8555/25",73
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","100/2816","232/9370",0.431034482758621,1.43423050548589,4.38983778119484,1.38259615506797e-05,0.000540748718426583,NA,"998/10163/732/55970/10451/8515/8394/4660/55740/1131/10000/8516/5305/2263/1793/22800/5058/80310/5962/23365/57121/3845/3071/3679/4659/10094/5501/4633/221178/28984/8874/6655/87/623/23191/1133/106821730/2252/5604/8826/4629/91807/3682/4628/85464/8396/10672/103910/6093/208/2909/9475/81553/375189/5500/6654/10097/7852/10787/3685/10152/200576/2335/10109/6714/7074/5594/3985/4627/55845/5894/3680/3693/5291/5290/5062/56034/729/3672/5295/324/1729/2246/26999/2264/340156/8936/85477/3696/1956/8976/673/653857/26281/51571/5747/1902/727/2934/81624",100
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","38/2816","70/9370",0.542857142857143,1.80631087662338,4.4383320462536,1.91868352956468e-05,0.000675376602406766,NA,"998/3725/5906/405/5546/54583/2271/10000/8453/5058/2113/3845/5908/5781/112399/6655/3091/7043/106821730/5604/1387/2885/208/6654/7039/5594/2033/7428/5894/5291/5290/5062/2549/5295/4233/673/6921/2889",38
