"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","126/2647","254/9370",0.496062992125984,1.75599177794502,7.66432313574159,2.51572082304147e-13,8.85533729710597e-11,NA,"4803/4914/3362/779/493/553/5724/2253/2263/57118/5979/6865/818/7417/10105/51196/6786/5024/1128/5331/219931/488/53373/4842/5027/84876/775/3709/2065/1910/196883/4776/6547/801/624/5330/4916/8912/487/115/113/4775/136/4843/5026/5023/2064/113026/8913/2905/8877/2774/4772/773/5566/2767/2769/6915/6261/808/6543/2906/3270/27006/57192/7852/5136/84812/109/3973/7039/85366/7125/2778/4923/23236/5332/9127/135/8911/491/3269/4638/4486/776/5021/8536/6870/2247/2261/5156/1816/7416/2246/154/5159/815/147/8817/2264/108/2149/340156/3710/7942/7422/80228/1129/4846/5137/816/107/5154/1956/5260/114/8822/148/2185/2260/7419/2902/774/5568/9630/4915",126
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","103/2647","203/9370",0.507389162561576,1.7960847953162,7.1950823186322,6.98229744246644e-12,1.22888434987409e-09,NA,"10451/7059/7143/3914/10000/1298/3725/5293/1793/8516/5599/55742/3265/595/5829/2012/894/1280/3695/3678/3679/7450/4659/1282/1284/207/394/5228/56924/399694/83660/5604/22801/5923/3480/2013/5170/5595/2064/3674/3690/3675/1277/2885/3691/71/5881/3909/596/284217/1311/23396/10298/208/25759/7408/2909/54776/3655/3676/1285/1293/85366/10398/6714/3911/1299/1291/1399/5594/5880/29780/64098/4638/3693/3680/1499/2317/5156/5602/5159/5601/3672/2534/7058/340156/7148/896/7422/93408/3912/58498/5154/1956/60/5879/5747/10319/2889/7410/7094/8395/53358",103
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","114/2647","233/9370",0.489270386266094,1.73194692833899,7.09900979068159,1.10772958345918e-11,1.29973604459211e-09,NA,"375790/29765/7059/4000/477/832/7139/3339/3930/84033/58/4811/56776/127294/9672/2275/1298/8516/10529/58529/11155/272/7136/7140/4607/6712/4604/8082/3695/3678/3679/1282/1284/4624/22795/23002/23224/161176/51332/825/2200/83660/22801/3728/3674/752/4635/3690/3675/6442/1277/3691/482/71/8736/1837/284217/50509/7171/1311/84823/57731/478/1158/79784/4606/84467/2274/3655/3676/6382/1285/1293/6711/72/200539/6640/57644/10398/6385/7125/1299/1291/4627/2192/3693/2199/79188/3680/4634/1605/56203/287/27295/9260/3672/23345/7058/1302/23500/2318/58498/60/2006/23353/5339/9172/64236/6383/85301/6709/1289/7169/7094",114
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","56/2647","93/9370",0.602150537634409,2.13152645924987,6.88088729307911,1.04725124773304e-10,8.96720398179112e-09,NA,"779/3725/5599/818/3265/5331/775/3709/112/4323/196883/801/5330/100137049/123745/283748/5604/5595/115/113/4313/5606/5338/4215/2885/5566/2767/5605/808/3972/5609/109/2797/6714/2778/23236/5332/5594/6300/5600/5580/776/5602/815/5601/4214/108/4216/3710/5603/816/107/1956/114/2185/5568",56
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","81/2647","154/9370",0.525974025974026,1.86187254377659,6.76665770026385,1.27375056559533e-10,8.96720398179112e-09,NA,"2475/7059/7143/3914/10000/1298/5293/8516/55742/83706/595/5829/894/1280/3695/3678/3679/7450/1282/1284/341640/207/10979/5228/2200/83660/22801/3480/3682/2064/3674/3690/3675/1277/3691/71/5881/3909/284217/3383/1311/208/8174/718/8440/3987/55679/3655/3676/1285/1293/6714/55612/3911/1299/3689/1291/5880/29780/64098/3693/3680/1499/2317/255743/5156/5159/3672/7058/7148/896/7422/3912/5154/1956/60/5879/5747/10319/158326/7094",81
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","132/2647","300/9370",0.44,1.55753683415187,6.15846649554724,2.36986064543114e-09,1.3903182453196e-07,NA,"1435/4803/4914/1969/779/9261/7042/11221/84451/10000/3925/9064/9048/8569/3725/2253/2263/5979/5599/355/3481/3265/10235/5970/408/93589/775/784/7786/2065/7132/207/5228/2353/7043/9252/100137049/123745/283748/5604/5607/5923/3480/8912/23162/9344/5595/4775/5606/4763/2064/1845/9020/4137/409/4804/8913/4215/27091/27092/786/2885/7157/5881/4772/1943/773/5566/4294/208/5605/5536/6237/27006/3643/5609/9448/3554/785/7039/1844/6789/1399/5594/5880/10454/8911/6300/5600/23542/22808/9254/7867/1849/776/4790/2247/2261/5156/3815/5602/2246/1436/5159/8817/2264/5601/4214/4208/23118/4216/6196/5603/6722/7422/6885/2768/5154/1956/5879/781/8822/2260/3551/285/6788/7186/774/7010/5568/4915/10912",132
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","58/2647","105/9370",0.552380952380952,1.95534927231187,6.1769793482543,5.02175163967066e-09,2.52522368166296e-07,NA,"4000/779/7139/7042/8516/4607/488/4842/93589/775/8082/112/784/3695/3678/3679/4624/196883/6547/7043/22801/487/115/113/3674/3690/3675/6442/27091/27092/786/3691/71/1837/284217/5566/7171/6543/785/3655/3676/109/6640/2778/3693/3680/4634/1605/9254/776/3672/108/107/60/781/114/7169/5568",58
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","75/2647","149/9370",0.503355704697987,1.78180693351724,6.03595058134627,8.01536934123016e-09,3.20774964938306e-07,NA,"2475/2207/553/375/10000/5293/2147/3265/5331/9846/112/1606/207/196883/5330/100137049/123745/283748/399694/5604/7249/5595/115/113/5338/10672/2885/8877/9267/1785/9170/8612/23396/208/5605/25759/9266/6237/3643/5899/8527/109/551/2778/23236/5332/56894/5594/27128/22808/1608/2912/2549/5156/3815/5159/8611/108/2149/2534/56895/2914/6009/2768/107/5154/1956/9265/114/2185/1759/5900/10555/8395/53358",75
"Organismal Systems","Immune system","hsa04611","Platelet activation","66/2647","126/9370",0.523809523809524,1.85421051684746,6.0570652579255,8.2016326262635e-09,3.20774964938306e-07,NA,"2207/5590/10000/5293/6786/2147/83706/5331/10235/84876/3709/112/7450/4659/207/196883/5330/100137049/123745/283748/83660/5595/115/113/5023/3674/3690/2811/1277/10672/71/5566/6915/208/9138/7408/5739/2909/109/85366/6714/2778/23236/5332/5594/6300/5600/4638/2815/2814/3937/108/2149/2534/340156/3710/5603/6916/4846/107/60/114/4067/5742/7094/5568",66
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","55/2647","99/9370",0.555555555555556,1.96658691180792,6.0664867234971,9.49681525385402e-09,3.34287896935662e-07,NA,"4803/4914/5293/5599/818/5331/5029/3709/112/196883/5732/5583/801/624/5330/100137049/123745/283748/115/113/51393/5606/40/162514/7442/239/5566/808/3554/55515/79054/109/5581/6714/2778/23236/5332/8398/6300/5600/3269/5580/5602/815/5601/108/2150/3710/5603/9311/816/107/114/8989/5568",55
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","85/2647","178/9370",0.47752808988764,1.6903808848686,5.83493182345958,2.01802659791968e-08,6.45768511334297e-07,NA,"81839/1855/57216/59352/54361/3725/56998/6934/1488/5599/818/6425/283106/55366/5331/8061/4041/595/81029/894/7471/8549/4776/23002/5663/440193/5330/4088/7090/8312/1387/85407/1459/4775/5176/7473/54894/8313/7157/147111/5881/4089/4772/5566/79816/7089/8324/80326/83439/23236/5332/84133/5880/1454/102800317/2033/7477/9620/8607/7476/1857/1499/1951/7474/166336/51176/1487/5602/85409/1501/4163/6932/815/5601/5467/23500/896/22881/6885/816/5879/8326/8840/6422/5568",85
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","50/2647","89/9370",0.561797752808989,1.98868339396306,5.88026490268673,2.72002165663602e-08,7.97873019279899e-07,NA,"375790/9900/7059/7143/3914/3339/1298/8516/960/1280/3695/3678/3679/7450/1282/1284/341640/22801/3674/3690/2811/3675/1277/3691/3909/284217/1311/3655/3676/6382/1285/1293/6385/3911/1299/1291/3693/2815/2814/3680/1605/255743/56955/3672/22987/7058/7148/3912/10319/158326",50
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","48/2647","86/9370",0.558139534883721,1.97573382767679,5.70367874188354,6.79851496477657e-08,1.56725358491513e-06,NA,"4000/779/6934/8516/488/4842/93589/775/8082/784/3695/3678/3679/6547/22801/487/3728/3674/3690/3675/6442/27091/27092/786/3691/71/1000/1837/284217/6543/785/3655/3676/1496/83439/6640/3693/3680/1499/1605/9254/776/51176/6932/3672/2697/60/781",48
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","96/2647","212/9370",0.452830188679245,1.6029538601906,5.57177698730923,6.89045230301664e-08,1.56725358491513e-06,NA,"10451/1435/4803/1969/5590/83593/57568/10000/5293/2253/2263/56288/51196/3265/5331/10235/6494/112/51466/207/196883/5228/801/5330/83660/5604/3480/5595/115/113/136/5606/3674/3690/4804/71/5881/1943/9170/23094/208/5605/7408/808/25865/6237/27006/3643/5899/109/6714/84612/2778/23236/5332/7074/3689/1399/5594/135/5880/6300/5600/22808/1499/9223/2247/2261/5156/3815/2246/1436/5159/3937/8817/2264/108/2149/5603/7422/9771/107/5154/1956/60/5879/114/8822/2260/285/2889/5900/7410/2902/7010/7094",96
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","67/2647","134/9370",0.5,1.76992822062712,5.63251957761381,6.98132247719493e-08,1.56725358491513e-06,NA,"4879/4881/5322/779/391013/553/1907/3778/10335/797/5331/775/3709/112/4659/196883/5583/801/5330/100137049/123745/283748/5604/5595/115/113/136/10672/5566/2767/5605/9138/808/5739/79784/54776/10203/4880/109/5581/72/551/85366/10398/2778/23236/5332/5594/135/50487/4627/8398/4638/10242/5580/776/147/3779/108/340156/3710/2768/10268/107/114/148/5568",67
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","101/2647","226/9370",0.446902654867257,1.58197124144548,5.55686274190675,7.1238799314324e-08,1.56725358491513e-06,NA,"10451/4881/477/3362/779/134/493/10000/1907/3725/5142/5293/5599/818/51196/486/90993/1128/5970/488/84876/775/112/4659/207/196883/4792/6751/5732/122876/2353/801/5604/10021/6755/487/5595/1387/115/113/1258/1394/5338/2905/482/5881/4158/4772/5141/5566/5143/208/5605/478/808/2906/3972/6237/610/1385/109/5443/3973/1261/10398/2778/7074/5594/135/5880/2033/5465/491/776/5021/4790/8310/5602/1816/154/815/5601/5144/108/2149/10846/2550/1129/7434/1395/117/2737/816/107/5879/114/7410/2902/5568/5727/9568",101
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","79/2647","166/9370",0.475903614457831,1.68463047505473,5.58423904076461,7.6384030223105e-08,1.58159874344312e-06,NA,"4879/4881/477/779/134/493/10000/150/7417/3778/10105/10335/486/90993/5331/5138/488/775/3709/112/4659/1910/207/4624/196883/4776/6547/801/624/5330/5604/487/5595/115/113/1258/4775/10672/482/4772/2767/208/5605/478/7408/808/6543/3643/1385/4880/109/5581/151/85366/10398/23236/5332/5594/491/4638/10242/776/152/7416/154/147/3779/108/4208/340156/3710/6722/4846/2768/107/2969/114/148/7419",79
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","53/2647","99/9370",0.535353535353535,1.89507466046945,5.61766197942854,9.3698199459643e-08,1.83232034498857e-06,NA,"2475/4853/10000/3725/5293/5599/3265/595/112/5925/207/3714/196883/2100/2353/54567/399694/5604/3480/5595/115/113/4313/2064/2885/7157/596/10498/5566/10683/208/5605/25759/109/182/1869/6714/2778/5594/6300/5600/5602/5601/108/4855/5603/2852/107/1956/114/5747/5568/53358",53
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","138/2647","333/9370",0.414414414414414,1.46696753421347,5.44425799449279,9.91431047145206e-08,1.83675646629007e-06,NA,"9636/2475/4853/1855/7059/7143/23352/5590/3914/54361/10000/388585/26508/1298/390992/3716/5293/6934/55844/8516/56288/355/90993/3265/5970/10312/595/1740/5829/81029/894/1280/7471/3695/3678/3679/6773/7450/7132/1282/1284/5925/5527/7187/207/10379/387332/5529/5663/7337/5604/22801/5315/7249/527/8312/5595/1387/3996/535/3674/7473/3690/3675/1277/8313/2885/3993/3691/7157/5986/3909/284217/7297/5566/1311/208/5605/3661/5518/245973/3655/3676/8324/1385/80326/1285/1293/55502/525/83439/182/1869/84612/2778/3911/1299/3455/4599/1291/5594/4242/2033/7477/3693/7476/1857/3280/3680/1499/7474/9223/10474/4790/3516/5522/3659/6932/5159/9794/3672/7058/7148/4855/896/5528/7422/3912/6009/3955/1956/8326/5747/23513/3551/9134/10319/5568",138
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","75/2647","157/9370",0.477707006369427,1.6910142235291,5.47870998760519,1.3386026622217e-07,2.35594068551019e-06,NA,"5087/54896/338382/9261/712/714/713/840/1793/240/818/338440/10062/1374/5029/5031/121601/488/65082/196527/5777/23250/2621/29933/4776/5732/57617/23339/84465/5604/4240/487/5595/4775/23659/8578/3690/5175/8877/4772/5605/558/7376/682/10461/1385/64284/50636/6868/1844/64601/1399/5594/8398/6300/5600/1375/3693/7879/23355/1524/1849/23166/815/5467/5603/9844/27072/816/5879/286046/5747/575/19/6256",75
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","102/2647","232/9370",0.439655172413793,1.55631619399971,5.38371612612888,1.66110238980379e-07,2.78432400576635e-06,NA,"10451/128239/3645/10000/10163/5293/2253/2263/1793/8516/1132/2147/3265/1128/1072/54961/54434/5829/3695/3678/3679/79837/4659/221178/207/624/23191/56924/5604/22801/5595/85464/3682/3674/3690/3675/10672/3691/10458/71/5881/9170/23396/10298/208/5605/9138/2909/6237/79784/54776/27006/50649/7852/81553/3655/3676/85366/10398/6714/7074/3689/1399/5594/3985/4627/5880/4638/3693/22808/3680/2247/2261/5156/2246/5159/26999/8817/2264/3672/2149/340156/93408/1129/653857/57180/2768/58498/5154/1956/60/5879/3984/10552/5747/8822/2260/727/81873/7410/8395/89846",102
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","64/2647","130/9370",0.492307692307692,1.7426985556944,5.35044993187082,2.82461258083995e-07,4.51938012934392e-06,NA,"5590/2786/10000/3725/5293/5599/90993/3265/5331/5970/408/4842/112/2784/1282/1284/1910/207/196883/4792/2353/5330/399694/5604/5595/115/113/4313/51764/4843/409/2793/1277/2885/4087/5566/2769/208/5605/25759/94235/5609/1385/1285/109/6714/2778/23236/5332/5594/6300/5600/4790/5602/5601/108/5603/7422/4846/107/1956/114/5568/53358",64
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","68/2647","142/9370",0.47887323943662,1.69514252116401,5.2372857316725,4.5565541034717e-07,6.97350888879148e-06,NA,"2944/2949/5590/10000/3725/5293/5599/657/5970/4257/7132/3320/207/2353/801/5607/4313/1003/1535/6347/3674/3690/5175/7157/71/5881/596/3383/9817/10365/208/808/5609/3554/4780/6382/4880/2817/7056/6714/6385/6612/25774/3162/5880/6300/5600/1499/4790/4258/5602/658/5601/5562/4208/387082/5603/7422/6885/4846/5154/60/5879/5747/5327/3551/6383/445",68
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","72/2647","154/9370",0.467532467532468,1.6549978166903,5.14246108890124,6.74646382670524e-07,9.89481361250102e-06,NA,"477/779/7139/493/10000/55844/1390/818/486/3784/90993/5331/488/93589/775/112/784/5527/207/4624/196883/5529/6547/801/9252/5330/487/5595/115/113/4635/27091/27092/786/482/596/5566/7171/6324/208/478/808/6543/5518/785/1385/109/2778/23236/5332/5594/6300/5600/491/6331/4634/9254/776/5522/154/815/147/108/5603/5528/816/107/781/114/148/7169/5568",72
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","66/2647","138/9370",0.478260869565217,1.69297481973029,5.14577904364395,7.103747941117e-07,1.00020771010927e-05,NA,"10451/10000/10163/3725/5293/1793/5599/5970/5829/3678/920/207/4792/2353/5604/5595/29108/4775/5606/6347/147179/10458/71/5881/4772/5585/23396/208/5605/9138/3661/5609/7456/3676/925/7535/6714/1399/5594/5880/10454/6300/5600/4790/5602/3937/5601/23118/6196/5603/6885/653857/57180/3569/9844/60/5879/3984/10552/5747/2185/3551/81873/7410/7186/8395",66
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","51/2647","99/9370",0.515151515151515,1.82356240913098,5.16883723535997,7.88679777683725e-07,1.06775108363335e-05,NA,"4000/779/7139/7042/8516/4607/488/4842/93589/775/8082/784/3695/3678/3679/4624/6547/7043/22801/487/3674/3690/3675/6442/1636/27091/27092/786/3691/71/1837/284217/7171/6543/785/3655/3676/6640/3693/3680/4634/1605/9254/776/5562/3672/51422/3569/60/781/7169",51
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","37/2647","65/9370",0.569230769230769,2.01499520502165,5.15234000626979,1.12080311416821e-06,1.46119517106373e-05,NA,"3782/57657/779/3814/10000/5293/3265/5331/408/775/3709/207/2100/5330/5604/8912/5595/409/8913/3780/2767/208/5605/3783/3972/610/84634/2797/23236/5332/5594/8911/776/2550/3710/2852/9568",37
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","66/2647","140/9370",0.471428571428571,1.66878946516272,5.00258671283274,1.35385267916174e-06,1.7019862252319e-05,NA,"2475/2786/440738/10000/3265/187/5331/595/643246/4842/3709/112/2784/207/196883/6547/801/5330/5604/4088/5346/5595/115/113/51764/4843/10014/4635/2793/10672/8877/4087/4089/5566/10365/6261/208/5605/808/94235/6543/6237/9759/109/5581/182/85366/84557/23236/5332/5594/4638/22808/4634/10891/5562/108/4208/340156/3710/4846/51422/107/114/5327/5568",66
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","50/2647","98/9370",0.510204081632653,1.80604920472156,5.03303458482457,1.46583175621324e-06,1.74699130953084e-05,NA,"4881/477/779/493/57118/818/90993/747/5331/5138/84876/775/3709/112/196883/801/5330/8912/115/113/8913/482/4158/5566/2767/478/808/25865/4929/1385/109/5443/3777/5581/2778/23236/5332/8911/491/776/8536/815/108/3710/816/107/221955/114/51305/5568",50
