"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","18/362","86/9370",0.209302325581395,5.41757676988308,8.24997212679339,3.32847790792233e-09,9.8522946074501e-07,NA,"88/783/29119/488/6547/27092/1000/1837/6546/1496/785/10369/3680/1499/776/55799/6444/781",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","34/362","299/9370",0.11371237458194,2.94332859069828,6.8460641898067,1.28843869520342e-08,1.90688926890106e-06,NA,"56288/288/57689/3742/3736/1272/57522/8499/7082/4916/5579/1000/1630/80059/4133/4685/351/1499/6091/253559/5291/22871/3556/5602/287/9693/340156/51678/9863/4897/5803/137970/3786/5789",34
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","22/362","154/9370",0.142857142857143,3.69771112865035,6.76661219124378,9.97124832774591e-08,9.83829835004263e-06,NA,"3725/783/2977/3709/4659/5579/27092/9475/785/23236/5332/2778/10369/3708/776/55799/5530/4208/814/340156/781/5294",22
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","17/362","116/9370",0.146551724137931,3.79334158887407,6.06841132906009,2.02328247212165e-06,0.000149722902937002,NA,"55970/2893/2904/3709/10681/5579/9229/23236/5332/2778/3708/2917/776/5530/2891/2898/6505",17
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","26/362","254/9370",0.102362204724409,2.64954104493844,5.34274617979956,5.19292882089091e-06,0.000307421386196742,NA,"777/2904/3709/490/488/6547/4916/5579/2774/6546/2066/3357/23236/5332/2778/3708/776/57620/5530/56034/814/7416/2246/340156/444/4915",26
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","19/362","154/9370",0.123376623376623,3.19347779292531,5.50185430055902,7.04486038674893e-06,0.00034754644574628,NA,"3776/783/1390/490/488/6547/27092/6546/785/11069/23236/5332/2778/10369/776/55799/5521/781/5294",19
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","17/362","133/9370",0.12781954887218,3.30847837826611,5.37493078270478,1.33827131857741e-05,0.000565897586141306,NA,"55970/406/2893/2904/3709/10681/5579/2774/23236/5332/2778/3708/776/5602/5530/2891/5521",17
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","19/362","166/9370",0.114457831325301,2.96262397656926,5.11433951379249,2.09141049521577e-05,0.000764138139865201,NA,"3778/2977/3709/4659/490/488/6547/9475/6546/23236/5332/3708/776/10242/5530/4208/7416/340156/5294",19
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","13/362","86/9370",0.151162790697674,3.91269433380445,5.43955392729751,2.32339299283338e-05,0.000764138139865201,NA,"3778/6833/5579/11069/23236/5332/6616/2778/776/6514/10242/3781/9699",13
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","14/362","105/9370",0.133333333333333,3.451197053407,5.0633375355948,4.81775292659057e-05,0.00142605486627081,NA,"783/488/6547/27092/1837/6546/785/2778/10369/3680/776/55799/6444/781",14
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","13/362","99/9370",0.131313131313131,3.39890618896144,4.8101020197951,0.000104907381461168,0.00282296226477324,NA,"783/488/6547/27092/1837/6546/785/10369/3680/776/55799/6444/781",13
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","14/362","115/9370",0.121739130434783,3.15109296180639,4.65271664006248,0.000131735194937808,0.00324946814179925,NA,"55970/3709/10681/5579/3357/23236/5332/2778/351/3708/776/2560/3781/3751",14
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","15/362","134/9370",0.111940298507463,2.89746021274841,4.43475703293979,0.000198066885119376,0.0045098306150258,NA,"3778/2977/3709/4659/5583/5579/9475/10203/23236/5332/2778/3708/776/10242/340156",15
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","25/362","300/9370",0.0833333333333333,2.15699815837937,4.08297167887739,0.000238312242020506,0.00503860168843355,NA,"3725/55970/777/783/1847/5579/57551/27092/785/2066/6789/10369/776/55799/3556/5602/5530/4790/56034/9693/4214/4208/2246/781/4915",25
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","15/362","140/9370",0.107142857142857,2.77328334648777,4.23767863458487,0.000321079548532196,0.00627990650279763,NA,"2475/55970/3709/6547/10681/4088/6546/23236/5332/3708/10891/4208/814/340156/5294",15
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","12/362","97/9370",0.123711340206186,3.20214159594464,4.37026420949644,0.000339454405556629,0.00627990650279763,NA,"55970/2893/2977/2904/10681/5579/23236/5332/2778/3708/776/2891",12
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","12/362","98/9370",0.122448979591837,3.1694666817003,4.32778848509522,0.000373652955782497,0.00650595734774229,NA,"253430/3709/160851/5579/200576/23236/5332/8897/3708/5291/1607/9162",12
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","15/362","144/9370",0.104166666666667,2.69624769797422,4.11197540338297,0.000435567736467825,0.00698416280588928,NA,"2475/1600/55626/2904/3709/488/6095/5579/23236/5332/3708/5291/5602/2891/7416",15
"Organismal Systems","Nervous system","hsa04730","Long-term depression","9/362","60/9370",0.15,3.88259668508287,4.49025891259062,0.000448307747675325,0.00698416280588928,NA,"2977/3709/5579/23236/5332/2778/3708/2895/2891",9
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","11/362","87/9370",0.126436781609195,3.27268686098939,4.26915347884713,0.000493537511660667,0.00730435517257788,NA,"783/488/6547/27092/6546/785/10369/776/55799/781/444",11
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","9/362","67/9370",0.134328358208955,3.4769522552981,4.07877963505416,0.00102256260680459,0.014413263410198,NA,"2904/3709/5579/23236/5332/3708/5530/2891/814",9
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","19/362","226/9370",0.084070796460177,2.17608663765707,3.58766713745264,0.00118505920808962,0.01562111175707,NA,"3725/5142/3776/2893/2904/4659/490/488/9475/11069/2778/7074/776/5291/5602/4790/2891/5144/814",19
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","9/362","69/9370",0.130434782608696,3.37617103050685,3.97122172766344,0.00126657662895162,0.01562111175707,NA,"3778/2977/3709/23236/5332/2778/3708/776/5530",9
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","9/362","69/9370",0.130434782608696,3.37617103050685,3.97122172766344,0.00126657662895162,0.01562111175707,NA,"3725/2893/2904/5579/2778/776/5530/2891/814",9
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","18/362","212/9370",0.0849056603773585,2.19769623683936,3.53590844929336,0.00141700593368278,0.0166641262697232,NA,"56288/2904/5587/26037/5579/11069/23236/5332/2778/7074/1499/5291/56034/9693/2246/9771/9863/9732",18
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","11/362","99/9370",0.111111111111111,2.87599754450583,3.76160585998772,0.00147061488668825,0.0166641262697232,NA,"3709/5583/5579/3357/23236/5332/2778/3708/5291/3556/5602",11
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","12/362","115/9370",0.104347826086957,2.70093682440548,3.67904930522417,0.0015763362687576,0.0166641262697232,NA,"55970/3709/10681/5579/23236/5332/3708/776/5291/814/5294/3786",12
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","12/362","115/9370",0.104347826086957,2.70093682440548,3.67904930522417,0.0015763362687576,0.0166641262697232,NA,"5142/4040/3709/11214/5579/27347/23236/5332/2778/3708/5144/4208",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","17/362","199/9370",0.085427135678392,2.211194092007,3.46193294141622,0.00178494713806676,0.0182187707885435,NA,"55970/2893/2904/10681/5579/2774/3357/23236/5332/2778/2917/53829/64805/2560/2891/2898/6505",17
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","7/362","47/9370",0.148936170212766,3.85506053838016,3.93344538309343,0.00200758680459747,0.0198081898053617,NA,"2475/777/6833/776/5291/6514/5602",7
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","10/362","89/9370",0.112359550561798,2.90831212365758,3.62604961636352,0.00219604470464674,0.0209686849217882,NA,"2977/3709/7082/5579/3357/23236/5332/2778/3708/56034",10
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","10/362","91/9370",0.10989010989011,2.84439317588489,3.54413561365082,0.00259296762958949,0.0226975958370041,NA,"5142/55970/10681/5579/2778/2560/5144/8622/27115/5150",10
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","12/362","122/9370",0.0983606557377049,2.54596503939861,3.44542173676764,0.0026071562785748,0.0226975958370041,NA,"2475/488/3091/5579/23236/5332/7068/1499/5291/116931/10231/10499",12
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","12/362","122/9370",0.0983606557377049,2.54596503939861,3.44542173676764,0.0026071562785748,0.0226975958370041,NA,"2475/3709/5579/23236/5332/2778/3708/776/5291/5602/4214/53358",12
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","9/362","78/9370",0.115384615384615,2.98661283467913,3.53177195587291,0.00300712760990342,0.0250399999198981,NA,"29119/1793/1496/1499/5291/55752/79658/9844/53358",9
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","10/362","93/9370",0.10752688172043,2.78322343016693,3.46441710160567,0.00304540539566329,0.0250399999198981,NA,"3725/3709/5579/23236/5332/2778/3708/776/5602/4214",10
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","8/362","65/9370",0.123076923076923,3.18572035699108,3.54470259113051,0.00338361836348428,0.0258657827131998,NA,"3776/3709/23236/5332/2778/3708/776/8622",8
