"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","34/875","133/9370",0.255639097744361,2.73752953813104,6.47681510625044,3.35923289298261e-08,7.48131024570225e-06,NA,"2782/55970/5567/5525/10000/3799/5599/2893/2904/3709/5527/2903/5579/2774/5518/1385/2778/3708/776/1814/2932/111/5523/5522/5602/5530/817/2891/5521/1812/9586/2770/5520/2776",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","58/875","299/9370",0.193979933110368,2.07724796942188,6.07564862477042,4.33699144678391e-08,7.48131024570225e-06,NA,"5906/23380/10000/5599/288/57689/5058/5962/4684/23705/23085/7846/6334/57522/23426/5908/8499/5781/2308/7082/4916/8826/5579/23136/1000/1630/6711/8440/4685/351/5594/1499/9223/6092/6091/253559/2932/5291/22871/5062/9353/5602/8633/287/2244/9693/5921/51735/340156/22999/2037/4301/9863/26047/5789/8777/9414/25",58
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","23/875","86/9370",0.267441860465116,2.86392026578073,5.57285758059117,2.41265212083903e-06,0.000277454993896489,NA,"27/10000/5599/5058/867/5579/6416/2064/6777/7039/8440/2066/5594/2932/5291/5062/5602/817/2549/9542/673/3084/25",23
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","31/875","144/9370",0.215277777777778,2.30531746031746,5.06593511028866,7.16359050228761e-06,0.000617859680822307,NA,"5686/10000/5599/7417/55626/2904/3709/488/6311/5687/2903/5579/9706/5717/10939/5289/23369/3708/5291/4976/3516/5602/2891/6310/9519/5689/7979/5649/7419/9821/2776",31
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","23/875","93/9370",0.247311827956989,2.64835637480799,5.12693442100661,1.01066815305228e-05,0.000654109331474572,NA,"10163/5906/29119/5908/5787/7082/8826/3480/1387/51701/2064/6093/9475/1496/5594/1499/11235/1495/6885/8936/4301/57154/7046",23
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","19/875","69/9370",0.27536231884058,2.94873706004141,5.21413080527219,1.13758144604273e-05,0.000654109331474572,NA,"5567/22802/5972/2977/3709/3759/5534/5136/1385/2778/3708/776/111/5530/1909/5734/5137/2770/2776",19
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","40/875","226/9370",0.176991150442478,1.89532237673831,4.37254717952837,5.18130559494371e-05,0.00255364347179368,NA,"5142/5567/5906/10000/5599/5058/2893/2904/5908/490/488/1387/2903/6093/9475/3973/2492/11069/1385/2778/7074/5594/776/111/5291/5337/5602/4790/817/64399/1909/2891/5144/814/1812/64208/4301/9586/2770/673",40
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","22/875","97/9370",0.22680412371134,2.42874815905744,4.53942009075273,6.57611992476839e-05,0.00283595171755637,NA,"2782/8863/55970/5567/9722/5592/2893/2977/2904/9252/2903/5579/1385/2778/5594/3708/776/111/817/2891/2770/2776",22
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","17/875","67/9370",0.253731343283582,2.71710021321962,4.52679145483474,0.000101204668263462,0.00387951228343271,NA,"5567/5906/2904/3709/5908/1387/2903/5579/5534/5594/3708/5530/817/2891/814/673/2776",17
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","25/875","122/9370",0.204918032786885,2.1943793911007,4.2615467809645,0.00012618677341715,0.00435344368289167,NA,"5788/5525/10000/5599/5058/5781/5527/10125/5518/5534/8440/5594/2932/5523/5291/5062/1739/5522/5602/5530/4790/3558/5521/6885/5520",25
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","17/875","69/9370",0.246376811594203,2.63834368530021,4.38362796824188,0.000149769430995128,0.00469731397211993,NA,"5567/2893/2904/2903/5579/5534/1385/2778/776/111/5530/817/2891/814/1812/3066/9586",17
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","24/875","120/9370",0.2,2.14171428571429,4.03967239173428,0.000252282758283398,0.00725312930064768,NA,"5906/9261/10000/5599/5908/10818/5781/5663/9252/4916/4215/57498/5594/2932/5291/5602/4790/817/2549/814/2309/673/8767/25",24
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","35/875","204/9370",0.17156862745098,1.83725490196078,3.88017944392181,0.000280019671210557,0.00743129127443402,NA,"5567/4660/10000/288/27250/960/5058/5962/867/3709/1975/10818/5781/388112/8826/3480/5579/2064/406991/6093/4087/9475/3685/2066/7074/5594/3708/1499/5291/287/817/2549/29102/8326/673",35
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","39/875","238/9370",0.163865546218487,1.75476590636255,3.78518191001001,0.000341748438546681,0.00842165794990036,NA,"2782/55970/5567/5906/9462/27/10000/5599/54979/5058/9846/2904/29110/5908/8315/5781/253959/10125/2252/5923/3480/2903/5579/4763/7039/6789/7074/5594/5291/5337/5062/5602/4790/2549/5924/5921/4301/9771/25",39
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","23/875","116/9370",0.198275862068966,2.12325123152709,3.90670038058025,0.00038396946435359,0.00883129768013257,NA,"2782/55970/5567/2893/2904/3709/81539/54407/2903/5579/5534/2778/5594/3708/2917/776/111/5337/5530/2891/6507/2770/2776",23
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","24/875","125/9370",0.192,2.05604571428571,3.81463704098382,0.000475663648594243,0.0099590740385564,NA,"5525/10000/5599/259230/9846/9517/5527/5579/6093/5518/9475/5581/5594/5523/5291/5337/5522/5602/4790/5521/2770/5520/8439/2776",24
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","46/875","300/9370",0.153333333333333,1.64198095238095,3.62700438741505,0.000490736981610026,0.0099590740385564,NA,"55970/5567/5906/777/9261/10000/5599/5058/5908/8550/9252/10125/2252/5923/3480/5579/6416/51701/57551/4763/2064/4215/5534/7039/9448/10746/785/2066/6789/5594/776/55799/9175/5062/5602/5530/4790/9693/5924/5921/6885/23118/781/673/6788/7046",46
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","29/875","170/9370",0.170588235294118,1.82675630252101,3.49121838313977,0.000994460014402711,0.0183437191438557,NA,"5567/5906/5599/1740/5962/7846/64398/7082/51762/55114/2064/6093/5518/9475/5581/7074/776/9223/1739/5522/5602/9693/100132463/51735/5521/4301/5520/8777/9414",29
"Organismal Systems","Nervous system","hsa04730","Long-term depression","14/875","60/9370",0.233333333333333,2.49866666666667,3.73744479859169,0.00101023380792249,0.0183437191438557,NA,"5592/2977/3709/3480/5579/5518/2778/5594/3708/2895/2891/2770/673/2776",14
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","20/875","103/9370",0.194174757281553,2.07933425797503,3.53487407260429,0.00118379589647861,0.020420479214256,NA,"10000/5599/6416/2774/4087/5518/2778/5594/5291/5522/5602/4790/3558/5521/3459/2770/5520/9630/2776/7046",20
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","18/875","89/9370",0.202247191011236,2.16577849117175,3.54635828336078,0.00126050269003011,0.0205560594014579,NA,"5567/5592/983/2977/3709/7846/7082/5579/10746/3357/2778/5594/3708/111/1812/2770/2776/1902",18
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","25/875","142/9370",0.176056338028169,1.88531187122736,3.41158048436666,0.00137040396009719,0.0205560594014579,NA,"10277/7321/9886/26091/867/51433/8924/8925/7326/9063/57448/55120/10477/9320/83737/7324/9039/55236/7323/55294/7322/51465/57154/11059/51366",25
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","25/875","142/9370",0.176056338028169,1.88531187122736,3.41158048436666,0.00137040396009719,0.0205560594014579,NA,"2212/9103/10000/5599/9846/3709/488/1540/8792/5534/6772/1385/5594/3708/4286/5291/5602/5530/4790/814/6885/3459/23118/169200/7046",25
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","12/875","49/9370",0.244897959183673,2.62250728862974,3.65445313497623,0.0014566158811613,0.0209388532916937,NA,"5567/2904/2903/8787/1385/2778/111/4790/2891/1812/9586/2770",12
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","30/875","184/9370",0.16304347826087,1.74596273291925,3.27968230529911,0.00172338395520741,0.0237826985818622,NA,"9860/23380/57689/5058/57522/5781/4756/85464/6093/1630/9475/5534/8440/5594/6092/6091/2932/2047/5291/5062/9353/8633/5530/817/9037/5921/2045/2770/10512/25",30
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","22/875","122/9370",0.180327868852459,1.93105386416862,3.32200105537303,0.00189331914595779,0.0245301523609064,NA,"5567/10000/5599/3709/1387/5579/6416/6777/6772/1385/2778/5594/3708/776/2932/111/5291/5602/112609/9586/2770/2776",22
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","24/875","138/9370",0.173913043478261,1.8623602484472,3.27528675264957,0.00200896459718166,0.0245301523609064,NA,"10163/5586/2212/10000/5599/1793/3606/29110/6416/6093/9475/7456/5594/2932/5291/5602/4790/3558/2533/64283/6885/23118/9844/2776",24
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","64/875","480/9370",0.133333333333333,1.42780952380952,3.0880842552178,0.00202087016763366,0.0245301523609064,NA,"6390/5686/22926/440738/10133/3799/5599/7417/55626/50507/2893/2904/3709/7846/29110/488/6311/5687/5663/1133/2903/5579/7326/1770/9706/5717/4729/5289/9167/5534/4705/9217/514/522/351/5594/3708/1499/776/25978/2932/3064/170712/5602/6622/5530/4790/817/2891/5481/4724/324/1452/6310/51465/9896/5689/8326/7979/2861/673/7419/9821/2776",64
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","26/875","154/9370",0.168831168831169,1.80794063079777,3.24442344324406,0.00206529945445974,0.0245301523609064,NA,"5567/5525/10000/490/488/9252/5527/5518/785/11069/1385/2778/5594/776/55799/111/5523/5522/817/5521/64208/9586/2770/781/5520/2776",26
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","38/875","253/9370",0.150197628458498,1.60840203274986,3.14842892739413,0.00215012284392906,0.0245301523609064,NA,"10163/54874/440738/10000/5599/7321/1793/960/472/3606/3709/29110/2308/9252/83660/6093/5289/9475/5581/5594/3708/2932/5291/55752/5602/4790/7323/5481/831/7322/115004/6885/2309/8936/23118/989/9844/8767",38
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","17/875","86/9370",0.197674418604651,2.11681063122924,3.33910559726852,0.00220415861793652,0.0245301523609064,NA,"88/8516/29119/8082/488/1000/1837/1496/785/3685/1499/776/55799/3672/1495/6444/781",17
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","17/875","87/9370",0.195402298850575,2.09247947454844,3.28547140505564,0.002507340946517,0.0268748314034586,NA,"10000/5599/4087/1630/4436/2956/7039/5594/4292/1499/2932/5291/5602/4437/324/673/7046",17
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","13/875","59/9370",0.220338983050847,2.35951573849879,3.36187093472135,0.00262284251522244,0.0268748314034586,NA,"10000/29119/2064/1496/5594/4292/1499/2932/5291/324/1495/2309/673",13
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","15/875","73/9370",0.205479452054795,2.20039138943249,3.30431803279021,0.00264853410932636,0.0268748314034586,NA,"10000/3799/5579/2064/6777/27436/7039/6789/5594/5915/2272/5291/2309/1021/673",15
"Organismal Systems","Immune system","hsa04611","Platelet activation","22/875","126/9370",0.174603174603175,1.86975056689342,3.15441608791426,0.00288060957835752,0.0283945801295241,NA,"5567/5906/2212/10000/5592/2977/3709/5908/10125/83660/6093/9475/2778/5594/3708/111/5291/64805/2244/340156/2770/2776",22
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","27/875","169/9370",0.159763313609467,1.71083685545224,2.99271064452168,0.00382587009461901,0.0353626331225559,NA,"84938/5567/51100/440738/10000/10133/5599/55626/7405/29110/3480/9706/9842/81671/5289/57448/5594/3708/10533/64422/5291/23001/5602/83734/6885/27072/9821",27
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","18/875","98/9370",0.183673469387755,1.9668804664723,3.08793441110232,0.00384679128129548,0.0353626331225559,NA,"5305/55361/8898/3709/9107/160851/5579/5289/3631/5297/3708/5291/8821/1607/9162/9108/54928/55529",18
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","7/875","23/9370",0.304347826086957,3.25913043478261,3.48127280454053,0.00389501466277427,0.0353626331225559,NA,"27030/4436/2956/4292/5981/4437/6119",7
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","21/875","122/9370",0.172131147540984,1.84327868852459,3.00881914684254,0.0042195466759619,0.037326759056586,NA,"5567/10000/488/23389/2308/1387/5579/8648/3685/6772/8202/5594/7068/1499/2932/5291/10231/3066/10499/90390/9442",21
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","19/875","107/9370",0.177570093457944,1.9015220293725,3.00996436981901,0.00446480218586985,0.0380995088811018,NA,"5567/10000/23235/3709/2308/1387/31/57223/5534/1385/2778/3708/6514/10891/5161/5530/817/9586/2776",19
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","20/875","115/9370",0.173913043478261,1.8623602484472,2.98619656789634,0.00457995822811181,0.0380995088811018,NA,"2782/55970/5567/10000/3709/1133/5579/3759/1385/5594/3708/776/111/5291/817/814/56479/9586/2770/2776",20
