"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","GENENAME"
"chr1",190735,191872,1138,"*","Promoter (2-3kb)",1,184924,188106,3183,2,"100996442","ENST00000831740.1",-2629,NA
"chr1",1012904,1015604,2701,"*","Promoter (<=1kb)",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",0,"ISG15"
"chr1",1020086,1028206,8121,"*","Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",0,"AGRN"
"chr1",1031051,1035371,4321,"*","Promoter (<=1kb)",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",0,"AGRN"
"chr1",1154966,1160939,5974,"*","Exon (ENST00000807417.1/ENST00000807417.1, exon 1 of 1)",1,1167104,1167198,95,1,"406984","ENST00000384997.3",-6165,"MIR200B"
"chr1",1272377,1275907,3531,"*","Promoter (<=1kb)",1,1274033,1277498,3466,1,"101928895","ENST00000762567.1",0,NA
"chr1",1290312,1293742,3431,"*","Promoter (1-2kb)",1,1294499,1295008,510,2,"116983","ENST00000470659.1",1266,"ACAP3"
"chr1",1293976,1297104,3129,"*","Promoter (<=1kb)",1,1296110,1296170,61,2,"102465434","ENST00000613751.1",0,"MIR6726"
"chr1",1297801,1310777,12977,"*","Promoter (<=1kb)",1,1292390,1305929,13540,2,"116983","ENST00000492936.5",0,"ACAP3"
"chr1",1344592,1349975,5384,"*","Promoter (<=1kb)",1,1335276,1349112,13837,2,"1855","ENST00000378891.9",0,"DVL1"
"chr1",1417239,1427977,10739,"*","Promoter (<=1kb)",1,1420245,1422691,2447,1,"105378585","ENST00000428932.1",0,NA
"chr1",1428143,1442721,14579,"*","Promoter (<=1kb)",1,1429194,1432028,2835,2,"102724312","ENST00000730008.1",0,NA
"chr1",1535385,1543452,8068,"*","Promoter (<=1kb)",1,1534778,1540624,5847,2,"339453","ENST00000378733.9",0,"TMEM240"
"chr1",1775077,1786644,11568,"*","Promoter (<=1kb)",1,1751232,1778470,27239,2,"65220","ENST00000341426.9",0,"NADK"
"chr1",1786819,1794907,8089,"*","Promoter (<=1kb)",1,1785317,1788444,3128,2,"2782","ENST00000703698.1",0,"GNB1"
"chr1",1830112,1837117,7006,"*","Promoter (<=1kb)",1,1804526,1832285,27760,2,"2782","ENST00000437146.1",0,"GNB1"
"chr1",1837302,1844974,7673,"*","Promoter (<=1kb)",1,1785285,1839238,53954,2,"2782","ENST00000615252.5",0,"GNB1"
"chr1",1845629,1865124,19496,"*","Promoter (<=1kb)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",0,"GNB1"
"chr1",1887567,1896680,9114,"*","Promoter (<=1kb)",1,1891175,1892762,1588,1,"105378949","ENST00000798456.1",0,NA
"chr1",1905324,1910257,4934,"*","Promoter (<=1kb)",1,1906002,1909101,3100,2,"124903822","ENST00000726656.1",0,NA
"chr1",2071005,2077121,6117,"*","Promoter (<=1kb)",1,2073462,2185390,111929,1,"5590","ENST00000400921.6",0,"PRKCZ"
"chr1",2085808,2094343,8536,"*","Intron (ENST00000378567.8/5590, intron 4 of 17)",1,2082248,2150936,68689,1,"5590","ENST00000481140.5",3560,"PRKCZ"
"chr1",2094800,2101657,6858,"*","5' UTR",1,2104716,2150870,46155,1,"5590","ENST00000482686.5",-3059,"PRKCZ"
"chr1",2102578,2106419,3842,"*","Promoter (<=1kb)",1,2104716,2150870,46155,1,"5590","ENST00000482686.5",0,"PRKCZ"
"chr1",2124419,2141704,17286,"*","Promoter (<=1kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",0,"PRKCZ"
"chr1",2148782,2163612,14831,"*","3' UTR",1,2145387,2185116,39730,1,"5590","ENST00000478770.6",3395,"PRKCZ"
"chr1",2188389,2199956,11568,"*","Promoter (<=1kb)",1,2184461,2194775,10315,2,"199990","ENST00000400919.7",0,"FAAP20"
"chr1",2211597,2216330,4734,"*","Promoter (<=1kb)",1,2212523,2220738,8216,1,"124903823","ENST00000442483.2",0,NA
"chr1",2228763,2244810,16048,"*","Promoter (<=1kb)",1,2232479,2303038,70560,1,"6497","ENST00000508416.1",0,"SKI"
"chr1",2245404,2250829,5426,"*","Promoter (<=1kb)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",0,"SKI"
"chr1",2254242,2258678,4437,"*","Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",6246,"SKI"
"chr1",2270028,2275627,5600,"*","Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",22032,"SKI"
"chr1",2289634,2294621,4988,"*","Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-9025,"SKI"
"chr1",2298109,2307176,9068,"*","Promoter (<=1kb)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",0,"SKI"
"chr1",2310013,2314876,4864,"*","Promoter (<=1kb)",1,2314917,2319268,4352,1,"124903824","ENST00000810882.1",-41,NA
"chr1",2411426,2416098,4673,"*","Promoter (<=1kb)",1,2403964,2412564,8601,2,"5192","ENST00000288774.8",0,"PEX10"
"chr1",2424959,2428661,3703,"*","Promoter (<=1kb)",1,2425980,2479804,53825,1,"9651","ENST00000609981.5",0,"PLCH2"
"chr1",2440895,2459308,18414,"*","Intron (ENST00000609981.5/9651, intron 2 of 3)",1,2467459,2505526,38068,1,"9651","ENST00000449969.5",-8151,"PLCH2"
"chr1",2489215,2494413,5199,"*","Exon (ENST00000449969.5/9651, exon 9 of 22)",1,2497782,2505528,7747,1,"9651","ENST00000473964.5",-3369,"PLCH2"
"chr1",2522712,2534169,11458,"*","Promoter (<=1kb)",1,2528745,2530263,1519,2,"388585","ENST00000378453.4",0,"HES5"
"chr1",2542429,2549668,7240,"*","Promoter (1-2kb)",1,2541473,2551640,10168,2,"115110","ENST00000829788.1",1972,NA
"chr1",2554637,2557633,2997,"*","Promoter (<=1kb)",1,2549920,2557031,7112,2,"115110","ENST00000452793.2",0,NA
"chr1",2581797,2589139,7343,"*","Promoter (<=1kb)",1,2586491,2589632,3142,1,"127281","ENST00000493183.5",0,"FAM213B"
"chr1",2965677,2974556,8880,"*","Exon (ENST00000641229.2/ENST00000641229.2, exon 1 of 4)",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-46911,"ACTRT2"
"chr1",2981421,2985964,4544,"*","Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-35503,"ACTRT2"
"chr1",2986594,2989158,2565,"*","Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-32309,"ACTRT2"
"chr1",3010821,3013517,2697,"*","Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-7950,"ACTRT2"
"chr1",3123758,3127468,3711,"*","Promoter (<=1kb)",1,3127975,3128035,61,1,"100422968","ENST00000635819.1",-507,"MIR4251"
"chr1",3168728,3175702,6975,"*","Promoter (1-2kb)",1,3161276,3167152,5877,2,"105378606","ENST00000818384.1",-1576,NA
"chr1",3214705,3223257,8553,"*","Promoter (1-2kb)",1,3211011,3213146,2136,2,"105378605","ENST00000818534.1",-1559,NA
"chr1",3328877,3330941,2065,"*","Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",-5728,NA
"chr1",3333695,3336237,2543,"*","Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",-10546,NA
"chr1",3345743,3352795,7053,"*","Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",-22594,NA
"chr1",3365101,3371063,5963,"*","Exon (ENST00000665088.1/ENST00000665088.1, exon 2 of 2)",1,3396491,3434293,37803,1,"63976","ENST00000509860.1",-25428,"PRDM16"
