"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","GENENAME"
"chr1",10000779,10001718,940,"*","Intron (ENST00000315901.4/116362, intron 1 of 4)",1,9997228,10016021,18794,1,"116362","ENST00000294435.8",3551,"RBP7"
"chr1",10002118,10002783,666,"*","Intron (ENST00000315901.4/116362, intron 1 of 4)",1,9997228,10016021,18794,1,"116362","ENST00000294435.8",4890,"RBP7"
"chr1",100033933,100036408,2476,"*","Promoter (1-2kb)",1,99912915,100037921,125007,2,"124904230","ENST00000840840.1",1513,NA
"chr1",100036747,100039625,2879,"*","Promoter (<=1kb)",1,99912910,100037930,125021,2,"124904230","ENST00000840839.1",0,NA
"chr1",100049528,100049805,278,"*","Intron (ENST00000638968.1/64645, intron 9 of 19)",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",-8866,"MFSD14A"
"chr1",100079465,100079750,286,"*","3' UTR",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",20794,"MFSD14A"
"chr1",100080798,100081128,331,"*","Intron (ENST00000638968.1/64645, intron 19 of 19)",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",22127,"MFSD14A"
"chr1",100081942,100082261,320,"*","3' UTR",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",23271,"MFSD14A"
"chr1",100132376,100133830,1455,"*","Promoter (<=1kb)",1,100083563,100132955,49393,2,"163786","ENST00000462159.1",0,"SASS6"
"chr1",1001784,1002096,313,"*","Promoter (<=1kb)",1,1001145,1014435,13291,1,"9636","ENST00000624652.1",639,"ISG15"
"chr1",100188085,100189602,1518,"*","3' UTR",1,100148731,100178267,29537,2,"127495","ENST00000342895.8",-9818,"LRRC39"
"chr1",100247681,100250579,2899,"*","Promoter (<=1kb)",1,100186919,100249834,62916,2,"1629","ENST00000370132.8",0,"DBT"
"chr1",100265502,100267163,1662,"*","Promoter (<=1kb)",1,100251528,100266179,14652,2,"100506007","ENST00000650038.1",0,NA
"chr1",10032124,10034790,2667,"*","Promoter (<=1kb)",1,10032832,10180367,147536,1,"10277","ENST00000253251.12",0,"UBE4B"
"chr1",100351060,100354221,3162,"*","Promoter (<=1kb)",1,100351698,100499460,147763,1,"8556","ENST00000644676.1",0,"CDC14A"
"chr1",100354894,100355426,533,"*","Promoter (1-2kb)",1,100352949,100518293,165345,1,"8556","ENST00000644813.1",1945,"CDC14A"
"chr1",100355635,100356089,455,"*","Promoter (2-3kb)",1,100352949,100518293,165345,1,"8556","ENST00000644813.1",2686,"CDC14A"
"chr1",1003973,1004631,659,"*","Promoter (2-3kb)",1,1001145,1014435,13291,1,"9636","ENST00000624652.1",2828,"ISG15"
"chr1",10041673,10042686,1014,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",8399,"UBE4B"
"chr1",10044873,10048006,3134,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",11599,"UBE4B"
"chr1",100459113,100459744,632,"*","Intron (ENST00000717967.1/8556, intron 8 of 15)",1,100412809,100424071,11263,2,"105379827","ENST00000757760.1",-35042,NA
"chr1",100463899,100464362,464,"*","Intron (ENST00000717967.1/8556, intron 9 of 15)",1,100412809,100424071,11263,2,"105379827","ENST00000757760.1",-39828,NA
"chr1",10049458,10050641,1184,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",16184,"UBE4B"
"chr1",10051219,10053770,2552,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",17945,"UBE4B"
"chr1",100538151,100539648,1498,"*","Promoter (<=1kb)",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",12,"GPR88"
"chr1",10054505,10057067,2563,"*","Exon (ENST00000456484.1/ENST00000456484.1, exon 1 of 1)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",21231,"UBE4B"
