"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","GENENAME"
"chr1",190735,191872,1138,"*","Promoter (2-3kb)",1,184924,188106,3183,2,"100996442","ENST00000831740.1",-2629,NA
"chr1",778231,779429,1199,"*","Promoter (<=1kb)",1,725885,778688,52804,2,"100288069","ENST00000506640.4",0,NA
"chr1",820357,823607,3251,"*","Promoter (1-2kb)",1,825138,849592,24455,1,"643837","ENST00000624927.3",-1531,"LINC01128"
"chr1",826698,827741,1044,"*","Promoter (<=1kb)",1,764723,827557,62835,2,"100288069","ENST00000743824.1",0,NA
"chr1",921055,921739,685,"*","Promoter (1-2kb)",1,916870,919692,2823,2,"100130417","ENST00000417705.1",-1363,"RP11-54O7.3"
"chr1",958463,960306,1844,"*","Promoter (<=1kb)",1,944203,959256,15054,2,"26155","ENST00000327044.7",0,"NOC2L"
"chr1",998351,1001229,2879,"*","Promoter (<=1kb)",1,998962,1000172,1211,2,"57801","ENST00000428771.6",0,"HES4"
"chr1",1012904,1015604,2701,"*","Promoter (<=1kb)",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",0,"ISG15"
"chr1",1018829,1019933,1105,"*","Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",-187,"AGRN"
"chr1",1020086,1028206,8121,"*","Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",0,"AGRN"
"chr1",1031051,1035371,4321,"*","Promoter (<=1kb)",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",0,"AGRN"
"chr1",1035505,1041069,5565,"*","Promoter (<=1kb)",1,1034867,1041397,6531,1,"375790","ENST00000469403.1",638,"AGRN"
"chr1",1066505,1067667,1163,"*","Promoter (<=1kb)",1,1065635,1067086,1452,2,"105378948","ENST00000799886.1",0,NA
"chr1",1069041,1070571,1531,"*","Promoter (<=1kb)",1,1065634,1069347,3714,2,"105378948","ENST00000799880.1",0,NA
"chr1",1115745,1117042,1298,"*","Promoter (<=1kb)",1,1081818,1116081,34264,2,"54991","ENST00000379339.5",0,"C1orf159"
"chr1",1121393,1123181,1789,"*","Distal Intergenic",1,1087190,1116361,29172,2,"54991","ENST00000475119.5",-5032,"C1orf159"
"chr1",1124740,1125513,774,"*","Distal Intergenic",1,1126312,1129023,2712,2,"124903819","ENST00000767612.1",3510,NA
"chr1",1153524,1154615,1092,"*","Distal Intergenic",1,1167104,1167198,95,1,"406984","ENST00000384997.3",-12489,"MIR200B"
"chr1",1154966,1160939,5974,"*","Exon (ENST00000807417.1/ENST00000807417.1, exon 1 of 1)",1,1167104,1167198,95,1,"406984","ENST00000384997.3",-6165,"MIR200B"
"chr1",1182639,1183445,807,"*","Promoter (1-2kb)",1,1185036,1197475,12440,1,"254173","ENST00000486379.1",-1591,"TTLL10"
"chr1",1183699,1184595,897,"*","Promoter (<=1kb)",1,1185036,1197475,12440,1,"254173","ENST00000486379.1",-441,"TTLL10"
"chr1",1185004,1186146,1143,"*","Promoter (<=1kb)",1,1185036,1197475,12440,1,"254173","ENST00000486379.1",0,"TTLL10"
"chr1",1200189,1201181,993,"*","Distal Intergenic",1,1203844,1205680,1837,2,"8784","ENST00000486728.5",4499,"TNFRSF18"
"chr1",1205763,1207677,1915,"*","Promoter (<=1kb)",1,1203508,1206571,3064,2,"8784","ENST00000328596.10",0,"TNFRSF18"
"chr1",1208094,1209693,1600,"*","Promoter (1-2kb)",1,1203508,1206592,3085,2,"8784","ENST00000379268.7",-1502,"TNFRSF18"
"chr1",1230293,1232913,2621,"*","Promoter (<=1kb)",1,1232237,1235041,2805,1,"126792","ENST00000379198.5",0,"B3GALT6"
"chr1",1236085,1237875,1791,"*","Distal Intergenic",1,1232237,1235041,2805,1,"126792","ENST00000379198.5",3848,"B3GALT6"
"chr1",1238180,1239173,994,"*","Distal Intergenic",1,1242449,1243158,710,2,"388581","ENST00000478606.1",3985,"FAM132A"
"chr1",1250380,1251061,682,"*","Exon (ENST00000565563.1/ENST00000565563.1, exon 1 of 1)",1,1242453,1246722,4270,2,"388581","ENST00000330388.2",-3658,"FAM132A"
"chr1",1272377,1275907,3531,"*","Promoter (<=1kb)",1,1274033,1277498,3466,1,"101928895","ENST00000762567.1",0,NA
"chr1",1281354,1282109,756,"*","Promoter (<=1kb)",1,1281925,1286168,4244,1,"6339","ENST00000470022.1",0,"SCNN1D"
"chr1",1290312,1293742,3431,"*","Promoter (1-2kb)",1,1294499,1295008,510,2,"116983","ENST00000470659.1",1266,"ACAP3"
"chr1",1293976,1297104,3129,"*","Promoter (<=1kb)",1,1296110,1296170,61,2,"102465434","ENST00000613751.1",0,"MIR6726"
"chr1",1297801,1310777,12977,"*","Promoter (<=1kb)",1,1292390,1305929,13540,2,"116983","ENST00000492936.5",0,"ACAP3"
"chr1",1310995,1312028,1034,"*","Promoter (<=1kb)",1,1312502,1312566,65,2,"102465435","ENST00000620702.1",538,"CPSF3L"
