"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","GENENAME"
"chr1",190735,191872,1138,"*","Promoter (2-3kb)",1,184924,188106,3183,2,"100996442","ENST00000831740.1",-2629,NA
"chr1",1020086,1028206,8121,"*","Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",0,"AGRN"
"chr1",1031051,1035371,4321,"*","Promoter (<=1kb)",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",0,"AGRN"
"chr1",1035505,1041069,5565,"*","Promoter (<=1kb)",1,1034867,1041397,6531,1,"375790","ENST00000469403.1",638,"AGRN"
"chr1",1121393,1123181,1789,"*","Distal Intergenic",1,1087190,1116361,29172,2,"54991","ENST00000475119.5",-5032,"C1orf159"
"chr1",1154966,1160939,5974,"*","Exon (ENST00000807417.1/ENST00000807417.1, exon 1 of 1)",1,1167104,1167198,95,1,"406984","ENST00000384997.3",-6165,"MIR200B"
"chr1",1230293,1232913,2621,"*","Promoter (<=1kb)",1,1232237,1235041,2805,1,"126792","ENST00000379198.5",0,"B3GALT6"
"chr1",1236085,1237875,1791,"*","Distal Intergenic",1,1232237,1235041,2805,1,"126792","ENST00000379198.5",3848,"B3GALT6"
"chr1",1272377,1275907,3531,"*","Promoter (<=1kb)",1,1274033,1277498,3466,1,"101928895","ENST00000762567.1",0,NA
"chr1",1290312,1293742,3431,"*","Promoter (1-2kb)",1,1294499,1295008,510,2,"116983","ENST00000470659.1",1266,"ACAP3"
"chr1",1297801,1310777,12977,"*","Promoter (<=1kb)",1,1292390,1305929,13540,2,"116983","ENST00000492936.5",0,"ACAP3"
"chr1",1324321,1326236,1916,"*","Promoter (<=1kb)",1,1311585,1324687,13103,2,"54973","ENST00000540437.5",0,"CPSF3L"
"chr1",1344592,1349975,5384,"*","Promoter (<=1kb)",1,1335276,1349112,13837,2,"1855","ENST00000378891.9",0,"DVL1"
"chr1",1373726,1376739,3014,"*","Promoter (<=1kb)",1,1373730,1375157,1428,2,"54998","ENST00000338370.7",0,"AURKAIP1"
"chr1",1397494,1400746,3253,"*","Promoter (<=1kb)",1,1399476,1402054,2579,1,"148413","ENST00000448629.9",0,"RP4-758J18.2"
"chr1",1417239,1427977,10739,"*","Promoter (<=1kb)",1,1420245,1422691,2447,1,"105378585","ENST00000428932.1",0,NA
"chr1",1428143,1442721,14579,"*","Promoter (<=1kb)",1,1429194,1432028,2835,2,"102724312","ENST00000730008.1",0,NA
"chr1",1504385,1505474,1090,"*","Promoter (<=1kb)",1,1505078,1509468,4391,1,"83858","ENST00000734697.1",0,"ATAD3B"
"chr1",1535385,1543452,8068,"*","Promoter (<=1kb)",1,1534778,1540624,5847,2,"339453","ENST00000378733.9",0,"TMEM240"
"chr1",1549937,1551873,1937,"*","Intron (ENST00000763257.1/ENST00000763257.1, intron 1 of 1)",1,1541674,1546487,4814,2,"29101","ENST00000378726.1",-3450,"SSU72"
"chr1",1566754,1568379,1626,"*","Intron (ENST00000763257.1/ENST00000763257.1, intron 1 of 1)",1,1560848,1574584,13737,2,"29101","ENST00000359060.5",6205,"SSU72"
"chr1",1573296,1575806,2511,"*","Promoter (<=1kb)",1,1541673,1574863,33191,2,"29101","ENST00000291386.4",0,"SSU72"
"chr1",1613557,1617229,3673,"*","Promoter (<=1kb)",1,1615454,1630604,15151,1,"142678","ENST00000479659.5",0,"MIB2"
"chr1",1761327,1765142,3816,"*","Promoter (2-3kb)",1,1752471,1758575,6105,2,"65220","ENST00000342348.9",-2752,"NADK"
"chr1",1775077,1786644,11568,"*","Promoter (<=1kb)",1,1751232,1778470,27239,2,"65220","ENST00000341426.9",0,"NADK"
"chr1",1786819,1794907,8089,"*","Promoter (<=1kb)",1,1785317,1788444,3128,2,"2782","ENST00000703698.1",0,"GNB1"
"chr1",1795045,1798949,3905,"*","Promoter (<=1kb)",1,1787987,1794197,6211,2,"2782","ENST00000461893.5",-848,"GNB1"
"chr1",1799275,1802128,2854,"*","Intron (ENST00000615252.5/2782, intron 4 of 8)",1,1787987,1794197,6211,2,"2782","ENST00000461893.5",-5078,"GNB1"
"chr1",1805583,1809960,4378,"*","5' UTR",1,1789061,1818386,29326,2,"2782","ENST00000471354.1",8426,"GNB1"
"chr1",1812034,1818580,6547,"*","Promoter (<=1kb)",1,1789061,1818386,29326,2,"2782","ENST00000471354.1",0,"GNB1"
"chr1",1819128,1822867,3740,"*","Promoter (<=1kb)",1,1789061,1818386,29326,2,"2782","ENST00000471354.1",-742,"GNB1"
"chr1",1825803,1829887,4085,"*","Promoter (2-3kb)",1,1804526,1832285,27760,2,"2782","ENST00000437146.1",2398,"GNB1"
"chr1",1830112,1837117,7006,"*","Promoter (<=1kb)",1,1804526,1832285,27760,2,"2782","ENST00000437146.1",0,"GNB1"
"chr1",1837302,1844974,7673,"*","Promoter (<=1kb)",1,1785285,1839238,53954,2,"2782","ENST00000615252.5",0,"GNB1"
"chr1",1845629,1865124,19496,"*","Promoter (<=1kb)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",0,"GNB1"
"chr1",1870868,1875244,4377,"*","Intron (ENST00000610897.4/2782, intron 1 of 10)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",-12096,"GNB1"
"chr1",1887567,1896680,9114,"*","Promoter (<=1kb)",1,1891175,1892762,1588,1,"105378949","ENST00000798456.1",0,NA
"chr1",1905324,1910257,4934,"*","Promoter (<=1kb)",1,1906002,1909101,3100,2,"124903822","ENST00000726656.1",0,NA
"chr1",1918269,1921267,2999,"*","Promoter (<=1kb)",1,1917590,1918797,1208,2,"339456","ENST00000378602.3",0,"TMEM52"
"chr1",2041866,2045832,3967,"*","Promoter (1-2kb)",1,2033504,2047283,13780,2,"105378590","ENST00000807397.1",1451,NA
"chr1",2071005,2077121,6117,"*","Promoter (<=1kb)",1,2073462,2185390,111929,1,"5590","ENST00000400921.6",0,"PRKCZ"
"chr1",2079677,2085614,5938,"*","Promoter (<=1kb)",1,2082248,2150936,68689,1,"5590","ENST00000481140.5",0,"PRKCZ"
"chr1",2085808,2094343,8536,"*","Intron (ENST00000378567.8/5590, intron 4 of 17)",1,2082248,2150936,68689,1,"5590","ENST00000481140.5",3560,"PRKCZ"
"chr1",2094800,2101657,6858,"*","5' UTR",1,2104716,2150870,46155,1,"5590","ENST00000482686.5",-3059,"PRKCZ"
"chr1",2102578,2106419,3842,"*","Promoter (<=1kb)",1,2104716,2150870,46155,1,"5590","ENST00000482686.5",0,"PRKCZ"
"chr1",2124419,2141704,17286,"*","Promoter (<=1kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",0,"PRKCZ"
"chr1",2148782,2163612,14831,"*","3' UTR",1,2145387,2185116,39730,1,"5590","ENST00000478770.6",3395,"PRKCZ"
"chr1",2175434,2181355,5922,"*","Promoter (2-3kb)",1,2181794,2183875,2082,2,"100506504","ENST00000333854.2",2520,NA
"chr1",2188389,2199956,11568,"*","Promoter (<=1kb)",1,2184461,2194775,10315,2,"199990","ENST00000400919.7",0,"FAAP20"
"chr1",2202861,2206565,3705,"*","Promoter (<=1kb)",1,2198063,2203882,5820,2,"199990","ENST00000514625.1",0,"FAAP20"
"chr1",2211597,2216330,4734,"*","Promoter (<=1kb)",1,2212523,2220738,8216,1,"124903823","ENST00000442483.2",0,NA
"chr1",2226193,2228064,1872,"*","Promoter (<=1kb)",1,2227388,2303908,76521,1,"6497","ENST00000704337.1",0,"SKI"
"chr1",2228763,2244810,16048,"*","Promoter (<=1kb)",1,2232479,2303038,70560,1,"6497","ENST00000508416.1",0,"SKI"
"chr1",2245404,2250829,5426,"*","Promoter (<=1kb)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",0,"SKI"
"chr1",2254242,2258678,4437,"*","Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",6246,"SKI"
"chr1",2289634,2294621,4988,"*","Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-9025,"SKI"
"chr1",2298109,2307176,9068,"*","Promoter (<=1kb)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",0,"SKI"
"chr1",2310013,2314876,4864,"*","Promoter (<=1kb)",1,2314917,2319268,4352,1,"124903824","ENST00000810882.1",-41,NA
"chr1",2380926,2383598,2673,"*","Promoter (1-2kb)",1,2371676,2385121,13446,2,"79906","ENST00000419785.1",1523,"MORN1"
"chr1",2390147,2392856,2710,"*","Promoter (<=1kb)",1,2391775,2405442,13668,1,"11079","ENST00000378513.7",0,"RER1"
"chr1",2411426,2416098,4673,"*","Promoter (<=1kb)",1,2403964,2412564,8601,2,"5192","ENST00000288774.8",0,"PEX10"
"chr1",2424959,2428661,3703,"*","Promoter (<=1kb)",1,2425980,2479804,53825,1,"9651","ENST00000609981.5",0,"PLCH2"
"chr1",2431297,2433472,2176,"*","Intron (ENST00000609981.5/9651, intron 2 of 3)",1,2425980,2479804,53825,1,"9651","ENST00000609981.5",5317,"PLCH2"
"chr1",2436621,2438690,2070,"*","Intron (ENST00000609981.5/9651, intron 2 of 3)",1,2425980,2479804,53825,1,"9651","ENST00000609981.5",10641,"PLCH2"
"chr1",2440895,2459308,18414,"*","Intron (ENST00000609981.5/9651, intron 2 of 3)",1,2467459,2505526,38068,1,"9651","ENST00000449969.5",-8151,"PLCH2"
"chr1",2459567,2465093,5527,"*","Promoter (2-3kb)",1,2467459,2505526,38068,1,"9651","ENST00000449969.5",-2366,"PLCH2"
"chr1",2465741,2472530,6790,"*","Promoter (<=1kb)",1,2467459,2505526,38068,1,"9651","ENST00000449969.5",0,"PLCH2"
"chr1",2473116,2477570,4455,"*","Promoter (<=1kb)",1,2476289,2505532,29244,1,"9651","ENST00000378486.8",0,"PLCH2"
"chr1",2480286,2483749,3464,"*","Promoter (<=1kb)",1,2479888,2505276,25389,1,"9651","ENST00000278878.6",398,"PLCH2"
"chr1",2489215,2494413,5199,"*","Exon (ENST00000449969.5/9651, exon 9 of 22)",1,2497782,2505528,7747,1,"9651","ENST00000473964.5",-3369,"PLCH2"
"chr1",2494818,2496514,1697,"*","Promoter (1-2kb)",1,2497782,2505528,7747,1,"9651","ENST00000473964.5",-1268,"PLCH2"
"chr1",2497884,2500687,2804,"*","Promoter (<=1kb)",1,2498647,2505528,6882,1,"9651","ENST00000462379.1",0,"PLCH2"
"chr1",2501824,2508850,7027,"*","3' UTR",1,2498647,2505528,6882,1,"9651","ENST00000462379.1",3177,"PLCH2"
"chr1",2522712,2534169,11458,"*","Promoter (<=1kb)",1,2528745,2530263,1519,2,"388585","ENST00000378453.4",0,"HES5"
